msdrg_year,msdrg,msdrg_name
2008,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
2008,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
2008,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH MCC
2008,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH CC
2008,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITHOUT CC/MCC
2008,61,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH MCC
2008,62,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH CC
2008,63,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITHOUT CC/MCC
2008,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC
2008,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC
2008,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
2008,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITH MCC
2008,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITHOUT MCC
2008,69,TRANSIENT ISCHEMIA
2008,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
2008,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
2008,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
2008,73,CRANIAL & PERIPHERAL NERVE DISORDERS WITH MCC
2008,74,CRANIAL & PERIPHERAL NERVE DISORDERS WITHOUT MCC
2008,75,VIRAL MENINGITIS WITH CC/MCC
2008,76,VIRAL MENINGITIS WITHOUT CC/MCC
2008,77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC
2008,78,HYPERTENSIVE ENCEPHALOPATHY WITH CC
2008,79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC
2008,80,NONTRAUMATIC STUPOR & COMA WITH MCC
2008,81,NONTRAUMATIC STUPOR & COMA WITHOUT MCC
2008,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH MCC"
2008,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH CC"
2008,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITHOUT CC/MCC"
2008,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH MCC"
2008,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH CC"
2008,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITHOUT CC/MCC"
2008,88,CONCUSSION WITH MCC
2008,89,CONCUSSION WITH CC
2008,90,CONCUSSION WITHOUT CC/MCC
2008,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
2008,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC
2008,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
2008,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC
2008,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC
2008,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC
2008,97,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITH MCC
2008,98,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITH CC
2008,99,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC
2008,100,SEIZURES WITH MCC
2008,101,SEIZURES WITHOUT MCC
2008,102,HEADACHES WITH MCC
2008,103,HEADACHES WITHOUT MCC
2008,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,984,PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,985,PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,986,PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,987,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,988,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,989,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,2,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2008,9,BONE MARROW TRANSPLANT
2008,10,PANCREAS TRANSPLANT
2008,20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH MCC
2008,21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITH CC
2008,22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINC DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC
2008,23,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITH MCC OR CHEMO IMPLANT
2008,24,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PRINC DIAGNOSIS WITHOUT MCC
2008,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC
2008,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC
2008,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC
2008,28,SPINAL PROCEDURES WITH MCC
2008,29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS
2008,30,SPINAL PROCEDURES WITHOUT CC/MCC
2008,31,VENTRICULAR SHUNT PROCEDURES WITH MCC
2008,32,VENTRICULAR SHUNT PROCEDURES WITH CC
2008,33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC
2008,34,CAROTID ARTERY STENT PROCEDURE WITH MCC
2008,35,CAROTID ARTERY STENT PROCEDURE WITH CC
2008,36,CAROTID ARTERY STENT PROCEDURE WITHOUT CC/MCC
2008,37,EXTRACRANIAL PROCEDURES WITH MCC
2008,38,EXTRACRANIAL PROCEDURES WITH CC
2008,39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC
2008,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH MCC
2008,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITH CC OR PERIPH NEUROSTIM
2008,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROCEDURE WITHOUT CC/MCC
2008,52,SPINAL DISORDERS & INJURIES WITH CC/MCC
2008,53,SPINAL DISORDERS & INJURIES WITHOUT CC/MCC
2008,54,NERVOUS SYSTEM NEOPLASMS WITH MCC
2008,55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC
2008,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC
2008,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC
2008,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH MCC
2008,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH CC
2008,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITHOUT CC/MCC
2008,61,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH MCC
2008,62,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITH CC
2008,63,ACUTE ISCHEMIC STROKE WITH USE OF THROMBOLYTIC AGENT WITHOUT CC/MCC
2008,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC
2008,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC
2008,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC
2008,67,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITH MCC
2008,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITHOUT MCC
2008,69,TRANSIENT ISCHEMIA
2008,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC
2008,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC
2008,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC
2008,73,CRANIAL & PERIPHERAL NERVE DISORDERS WITH MCC
2008,74,CRANIAL & PERIPHERAL NERVE DISORDERS WITHOUT MCC
2008,75,VIRAL MENINGITIS WITH CC/MCC
2008,76,VIRAL MENINGITIS WITHOUT CC/MCC
2008,77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC
2008,78,HYPERTENSIVE ENCEPHALOPATHY WITH CC
2008,79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC
2008,80,NONTRAUMATIC STUPOR & COMA WITH MCC
2008,81,NONTRAUMATIC STUPOR & COMA WITHOUT MCC
2008,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH MCC"
2008,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH CC"
2008,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITHOUT CC/MCC"
2008,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH MCC"
2008,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH CC"
2008,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITHOUT CC/MCC"
2008,88,CONCUSSION WITH MCC
2008,89,CONCUSSION WITH CC
2008,90,CONCUSSION WITHOUT CC/MCC
2008,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
2008,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC
2008,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
2008,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC
2008,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC
2008,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC
2008,97,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITH MCC
2008,98,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITH CC
2008,99,NON_BACTERIAL INFECT OF NERVOUS SYS EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC
2008,100,SEIZURES WITH MCC
2008,101,SEIZURES WITHOUT MCC
2008,102,HEADACHES WITH MCC
2008,103,HEADACHES WITHOUT MCC
2008,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,985,PROSTATIC O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,987,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,988,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,989,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,10,PANCREAS TRANSPLANT
2008,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH MCC"
2008,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH CC"
2008,113,ORBITAL PROCEDURES WITH CC/MCC
2008,114,ORBITAL PROCEDURES WITHOUT CC/MCC
2008,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT
2008,116,INTRAOCULAR PROCEDURES WITH CC/MCC
2008,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC
2008,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC
2008,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC
2008,123,NEUROLOGICAL EYE DISORDERS
2008,124,OTHER DISORDERS OF THE EYE WITH MCC
2008,125,OTHER DISORDERS OF THE EYE WITHOUT MCC
2008,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,987,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,988,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,989,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2008,113,ORBITAL PROCEDURES WITH CC/MCC
2008,114,ORBITAL PROCEDURES WITHOUT CC/MCC
2008,115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT
2008,116,INTRAOCULAR PROCEDURES WITH CC/MCC
2008,117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC
2008,121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC
2008,122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC
2008,123,NEUROLOGICAL EYE DISORDERS
2008,124,OTHER DISORDERS OF THE EYE WITH MCC
2008,125,OTHER DISORDERS OF THE EYE WITHOUT MCC
2008,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,987,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,988,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,989,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2008,9,BONE MARROW TRANSPLANT
2008,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH MCC"
2008,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH CC"
2008,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITHOUT CC/MCC"
2008,129,MAJOR HEAD & NECK PROCEDURES WITH CC/MCC OR MAJOR DEVICE
2008,130,MAJOR HEAD & NECK PROCEDURES WITHOUT CC/MCC
2008,131,CRANIAL/FACIAL PROCEDURES WITH CC/MCC
2008,132,CRANIAL/FACIAL PROCEDURES WITHOUT CC/MCC
2008,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES WITH CC/MCC"
2008,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES WITHOUT CC/MCC"
2008,135,SINUS & MASTOID PROCEDURES WITH CC/MCC
2008,136,SINUS & MASTOID PROCEDURES WITHOUT CC/MCC
2008,137,MOUTH PROCEDURES WITH CC/MCC
2008,138,MOUTH PROCEDURES WITHOUT CC/MCC
2008,139,SALIVARY GLAND PROCEDURES
2008,146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY WITH MCC"
2008,147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY WITH CC"
2008,148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY WITHOUT CC/MCC"
2008,149,DYSEQUILIBRIUM
2008,150,EPISTAXIS WITH MCC
2008,151,EPISTAXIS WITHOUT MCC
2008,152,OTITIS MEDIA & UPPER RESPIRATORY INFECTION WITH MCC
2008,153,OTITIS MEDIA & UPPER RESPIRATORY INFECTION WITHOUT MCC
2008,154,NASAL TRAUMA & DEFORMITY WITH MCC
2008,155,NASAL TRAUMA & DEFORMITY WITH CC
2008,156,NASAL TRAUMA & DEFORMITY WITHOUT CC/MCC
2008,157,DENTAL & ORAL DISEASES WITH MCC
2008,158,DENTAL & ORAL DISEASES WITH CC
2008,159,DENTAL & ORAL DISEASES WITHOUT CC/MCC
2008,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,987,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,988,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,989,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2008,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH MCC"
2008,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH CC"
2008,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITHOUT CC/MCC"
2008,129,MAJOR HEAD & NECK PROCEDURES WITH CC/MCC OR MAJOR DEVICE
2008,130,MAJOR HEAD & NECK PROCEDURES WITHOUT CC/MCC
2008,131,CRANIAL/FACIAL PROCEDURES WITH CC/MCC
2008,132,CRANIAL/FACIAL PROCEDURES WITHOUT CC/MCC
2008,133,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES WITH CC/MCC"
2008,134,"OTHER EAR, NOSE, MOUTH & THROAT O.R. PROCEDURES WITHOUT CC/MCC"
2008,135,SINUS & MASTOID PROCEDURES WITH CC/MCC
2008,136,SINUS & MASTOID PROCEDURES WITHOUT CC/MCC
2008,137,MOUTH PROCEDURES WITH CC/MCC
2008,138,MOUTH PROCEDURES WITHOUT CC/MCC
2008,139,SALIVARY GLAND PROCEDURES
2008,146,"EAR, NOSE, MOUTH & THROAT MALIGNANCY WITH MCC"
2008,147,"EAR, NOSE, MOUTH & THROAT MALIGNANCY WITH CC"
2008,148,"EAR, NOSE, MOUTH & THROAT MALIGNANCY WITHOUT CC/MCC"
2008,149,DYSEQUILIBRIUM
2008,150,EPISTAXIS WITH MCC
2008,151,EPISTAXIS WITHOUT MCC
2008,152,OTITIS MEDIA & UPPER RESPIRATORY INFECTION WITH MCC
2008,153,OTITIS MEDIA & UPPER RESPIRATORY INFECTION WITHOUT MCC
2008,154,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSIS  WITH MCC"
2008,155,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSIS  WITH CC"
2008,156,"OTHER EAR, NOSE, MOUTH & THROAT DIAGNOSIS  WITHOUT CC/MCC"
2008,157,DENTAL & ORAL DISEASES WITH MCC
2008,158,DENTAL & ORAL DISEASES WITH CC
2008,159,DENTAL & ORAL DISEASES WITHOUT CC/MCC
2008,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,987,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH MCC
2008,988,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITH CC
2008,989,NON_EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  WITHOUT CC/MCC
2008,3,"ECMO OR TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITH MAJOR O.R."
2008,4,"TRACH WITH MECH VENT 96+ HRS OR PRINC DIAGNOSIS EXCEPT FACE, MOUTH & NECK WITHOUT MAJOR O.R."
2008,5,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT
2008,7,LUNG TRANSPLANT
2008,9,BONE MARROW TRANSPLANT
2008,11,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH MCC"
2008,12,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITH CC"
2008,13,"TRACHEOSTOMY FOR FACE,MOUTH & NECK DIAGNOSIS WITHOUT CC/MCC"
2008,163,MAJOR CHEST PROCEDURES WITH MCC
2008,164,MAJOR CHEST PROCEDURES WITH CC
2008,165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC
2008,166,OTHER RESP SYSTEM O.R. PROCEDURES WITH MCC
2008,167,OTHER RESP SYSTEM O.R. PROCEDURES WITH CC
2008,168,OTHER RESP SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
2008,175,PULMONARY EMBOLISM WITH MCC
2008,176,PULMONARY EMBOLISM WITHOUT MCC
2008,177,RESPIRATORY INFECTIONS & INFLAMMATIONS WITH MCC
2008,178,RESPIRATORY INFECTIONS & INFLAMMATIONS WITH CC
2008,179,RESPIRATORY INFECTIONS & INFLAMMATIONS WITHOUT CC/MCC
2008,180,RESPIRATORY NEOPLASMS WITH MCC
2008,181,RESPIRATORY NEOPLASMS WITH CC
2008,182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC
2008,183,MAJOR CHEST TRAUMA WITH MCC
2008,184,MAJOR CHEST TRAUMA WITH CC
2008,185,MAJOR CHEST TRAUMA WITHOUT CC/MCC
2008,186,PLEURAL EFFUSION WITH MCC
2008,187,PLEURAL EFFUSION WITH CC
2008,188,PLEURAL EFFUSION WITHOUT CC/MCC
2008,189,PULMONARY EDEMA & RESPIRATORY FAILURE
2008,190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC
2008,191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC
2008,192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC
2008,193,SIMPLE PNEUMONIA & PLEURISY WITH MCC
2008,194,SIMPLE PNEUMONIA & PLEURISY WITH CC
2008,195,SIMPLE PNEUMONIA & PLEURISY WITHOUT CC/MCC
2008,196,INTERSTITIAL LUNG DISEASE WITH MCC
2008,197,INTERSTITIAL LUNG DISEASE WITH CC
2008,198,INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC
2008,199,PNEUMOTHORAX WITH MCC
2008,200,PNEUMOTHORAX WITH CC
2008,201,PNEUMOTHORAX WITHOUT CC/MCC
