"providerid","dshquartile","dshquintile","dshdecile","name","year","urban","beds","adc","dsh_pct","dsh_opg","dsh_cpg","mcr_pct","cmi","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Location","lon","lat","safetydsh4","safetydsh","safetydsh10","safetynaph"
50007,1,1,2,"Peninsula Medical Center",2009,"LURBAN",219,139,10.762,0,0.02203,42.83,1.46829,"Mills-Peninsula Medical Center","1501 Trousdale Drive","Burlingame","CA",94010,"San Mateo",6506965270,"Acute Care Hospitals","Voluntary non-profit - Private","true","1501 TROUSDALE DRIVE
BURLINGAME, CA 94010
(37.59345872000006, -122.38429885599999)",-122.384298856,37.5934587200001,FALSE,FALSE,FALSE,FALSE
50007,1,1,2,"Peninsula Medical Center",2010,"LURBAN",219,150,4.0836216,0,0.008303619,36.5429854,1.545182926,"Mills-Peninsula Medical Center","1501 Trousdale Drive","Burlingame","CA",94010,"San Mateo",6506965270,"Acute Care Hospitals","Voluntary non-profit - Private","true","1501 TROUSDALE DRIVE
BURLINGAME, CA 94010
(37.59345872000006, -122.38429885599999)",-122.384298856,37.5934587200001,FALSE,FALSE,FALSE,FALSE
50008,2,2,4,"Davies Medical Center",2008,"LURBAN",144,45,21.489,0.06943,0.04448,37.391,1.34901,"California Pacific Medical Ctr-Davies Campus Hosp","601 Duboce Ave","San Francisco","CA",94117,"San Francisco",4156006000,"Acute Care Hospitals","Voluntary non-profit - Other","true","601 DUBOCE AVE
SAN FRANCISCO, CA 94117
(37.76910334200005, -122.43464780999994)",-122.43464781,37.7691033420001,FALSE,FALSE,FALSE,FALSE
50008,2,2,4,"Davies Medical Center",2010,"LURBAN",103,45,24.242,0.0921465,0.050314927,36.8271148,1.497386976,"California Pacific Medical Ctr-Davies Campus Hosp","601 Duboce Ave","San Francisco","CA",94117,"San Francisco",4156006000,"Acute Care Hospitals","Voluntary non-profit - Other","true","601 DUBOCE AVE
SAN FRANCISCO, CA 94117
(37.76910334200005, -122.43464780999994)",-122.43464781,37.7691033420001,FALSE,FALSE,FALSE,FALSE
50008,2,2,4,"Davies Medical Center",2007,"LURBAN",144,45,28.479,0.1271,0.05937,37.391,1.35843,"California Pacific Medical Ctr-Davies Campus Hosp","601 Duboce Ave","San Francisco","CA",94117,"San Francisco",4156006000,"Acute Care Hospitals","Voluntary non-profit - Other","true","601 DUBOCE AVE
SAN FRANCISCO, CA 94117
(37.76910334200005, -122.43464780999994)",-122.43464781,37.7691033420001,FALSE,FALSE,FALSE,FALSE
50008,2,2,4,"Cpmc-R.K. Davies Medical Center",2011,"LURBAN",100,41,25.554,0.10297,0.05311,41.719,1.6387,"California Pacific Medical Ctr-Davies Campus Hosp","601 Duboce Ave","San Francisco","CA",94117,"San Francisco",4156006000,"Acute Care Hospitals","Voluntary non-profit - Other","true","601 DUBOCE AVE
SAN FRANCISCO, CA 94117
(37.76910334200005, -122.43464780999994)",-122.43464781,37.7691033420001,FALSE,FALSE,FALSE,FALSE
50008,2,2,4,"Davies Medical Center",2009,"LURBAN",138,48,27.537,0.11933,0.05735,39.84,1.53774,"California Pacific Medical Ctr-Davies Campus Hosp","601 Duboce Ave","San Francisco","CA",94117,"San Francisco",4156006000,"Acute Care Hospitals","Voluntary non-profit - Other","true","601 DUBOCE AVE
SAN FRANCISCO, CA 94117
(37.76910334200005, -122.43464780999994)",-122.43464781,37.7691033420001,FALSE,FALSE,FALSE,FALSE
50009,2,2,4,"Queen Of The Valley Medical Center",2010,"OURBAN",168,115,24.742,0.0962715,0.05137891,50.8287574,1.749136513,"Queen Of The Valley Medical Center","1000 Trancas St","Napa","CA",94558,"Napa",7072524411,"Acute Care Hospitals","Voluntary non-profit - Church","true","1000 TRANCAS ST
NAPA, CA 94558
(38.32351797500007, -122.29621497699998)",-122.296214977,38.3235179750001,FALSE,FALSE,FALSE,FALSE
50009,2,2,4,"Queen Of The Valley Medical Center",2011,"OURBAN",179,109,23.42,0.08537,0.04857,47.224,1.75829,"Queen Of The Valley Medical Center","1000 Trancas St","Napa","CA",94558,"Napa",7072524411,"Acute Care Hospitals","Voluntary non-profit - Church","true","1000 TRANCAS ST
NAPA, CA 94558
(38.32351797500007, -122.29621497699998)",-122.296214977,38.3235179750001,FALSE,FALSE,FALSE,FALSE
50009,2,2,4,"Queen Of The Valley",2007,"OURBAN",141,100,21.966,0.07337,0.04549,50.112,1.78512,"Queen Of The Valley Medical Center","1000 Trancas St","Napa","CA",94558,"Napa",7072524411,"Acute Care Hospitals","Voluntary non-profit - Church","true","1000 TRANCAS ST
NAPA, CA 94558
(38.32351797500007, -122.29621497699998)",-122.296214977,38.3235179750001,FALSE,FALSE,FALSE,FALSE
50009,2,2,4,"Queen Of The Valley Medical Center",2009,"OURBAN",153,107,24.772,0.09652,0.05144,51.05,1.68501,"Queen Of The Valley Medical Center","1000 Trancas St","Napa","CA",94558,"Napa",7072524411,"Acute Care Hospitals","Voluntary non-profit - Church","true","1000 TRANCAS ST
NAPA, CA 94558
(38.32351797500007, -122.29621497699998)",-122.296214977,38.3235179750001,FALSE,FALSE,FALSE,FALSE
50009,2,2,4,"Queen Of The Valley",2008,"OURBAN",141,100,26.47,0.11053,0.05506,50.112,1.84744,"Queen Of The Valley Medical Center","1000 Trancas St","Napa","CA",94558,"Napa",7072524411,"Acute Care Hospitals","Voluntary non-profit - Church","true","1000 TRANCAS ST
NAPA, CA 94558
(38.32351797500007, -122.29621497699998)",-122.296214977,38.3235179750001,FALSE,FALSE,FALSE,FALSE
50013,2,3,5,"St Helena Hospital",2007,"OURBAN",158,63,22.827,0.08047,0.04731,38.38,1.91579,"St Helena Hospital","10 Woodland Road","Saint Helena","CA",94574,"Napa",7079633611,"Acute Care Hospitals","Voluntary non-profit - Private","false","10 WOODLAND ROAD
SAINT HELENA, CA 94574
(38.54204403800003, -122.47535602899995)",-122.475356029,38.542044038,FALSE,FALSE,FALSE,FALSE
50013,2,3,5,"St. Helena Hospital",2011,"OURBAN",181,52,39.159,0.21521,0.08253,44.015,1.91782,"St Helena Hospital","10 Woodland Road","Saint Helena","CA",94574,"Napa",7079633611,"Acute Care Hospitals","Voluntary non-profit - Private","false","10 WOODLAND ROAD
SAINT HELENA, CA 94574
(38.54204403800003, -122.47535602899995)",-122.475356029,38.542044038,FALSE,FALSE,FALSE,FALSE
50013,2,3,5,"St Helena Hospital",2009,"OURBAN",181,60,25.337,0.10118,0.05265,39.47,1.77139,"St Helena Hospital","10 Woodland Road","Saint Helena","CA",94574,"Napa",7079633611,"Acute Care Hospitals","Voluntary non-profit - Private","false","10 WOODLAND ROAD
SAINT HELENA, CA 94574
(38.54204403800003, -122.47535602899995)",-122.475356029,38.542044038,FALSE,FALSE,FALSE,FALSE
50013,2,3,5,"St Helena Hospital",2010,"OURBAN",181,51,23.82,0.088665,0.049417764,40.798367,1.882433024,"St Helena Hospital","10 Woodland Road","Saint Helena","CA",94574,"Napa",7079633611,"Acute Care Hospitals","Voluntary non-profit - Private","false","10 WOODLAND ROAD
SAINT HELENA, CA 94574
(38.54204403800003, -122.47535602899995)",-122.475356029,38.542044038,FALSE,FALSE,FALSE,FALSE
50013,2,3,5,"St Helena Hospital",2008,"OURBAN",158,63,25.499,0.10252,0.05299,38.38,1.92198,"St Helena Hospital","10 Woodland Road","Saint Helena","CA",94574,"Napa",7079633611,"Acute Care Hospitals","Voluntary non-profit - Private","false","10 WOODLAND ROAD
SAINT HELENA, CA 94574
(38.54204403800003, -122.47535602899995)",-122.475356029,38.542044038,FALSE,FALSE,FALSE,FALSE
50014,1,1,2,"Sutter Amador Hospital",2007,"RURAL",42,23,9.608,0,0,62.848,1.18032,"Sutter Amador Hospital","200 Mission Blvd","Jackson","CA",95642,"Amador",2092237500,"Acute Care Hospitals","Government - Local","true","200 MISSION BLVD
JACKSON, CA 95642
(38.350920389000066, -120.76646522799996)",-120.766465228,38.3509203890001,FALSE,FALSE,FALSE,FALSE
50014,1,1,2,"Sutter Amador Hospital",2010,"RURAL",42,25,14.931,0,0,59.0422946,1.205914708,"Sutter Amador Hospital","200 Mission Blvd","Jackson","CA",95642,"Amador",2092237500,"Acute Care Hospitals","Government - Local","true","200 MISSION BLVD
JACKSON, CA 95642
(38.350920389000066, -120.76646522799996)",-120.766465228,38.3509203890001,FALSE,FALSE,FALSE,FALSE
50014,1,1,2,"Sutter Amador Hospital",2008,"RURAL",42,23,13.914,0,0,62.848,1.23174,"Sutter Amador Hospital","200 Mission Blvd","Jackson","CA",95642,"Amador",2092237500,"Acute Care Hospitals","Government - Local","true","200 MISSION BLVD
JACKSON, CA 95642
(38.350920389000066, -120.76646522799996)",-120.766465228,38.3509203890001,FALSE,FALSE,FALSE,FALSE
50014,1,1,2,"Sutter Amador Hospital",2009,"RURAL",42,23,14.949,0,0,62.35,1.2124,"Sutter Amador Hospital","200 Mission Blvd","Jackson","CA",95642,"Amador",2092237500,"Acute Care Hospitals","Government - Local","true","200 MISSION BLVD
JACKSON, CA 95642
(38.350920389000066, -120.76646522799996)",-120.766465228,38.3509203890001,FALSE,FALSE,FALSE,FALSE
50014,1,1,2,"Sutter Amador Hospital",2011,"RURAL",42,25,16.871,0.03716,0,58.903,1.26655,"Sutter Amador Hospital","200 Mission Blvd","Jackson","CA",95642,"Amador",2092237500,"Acute Care Hospitals","Government - Local","true","200 MISSION BLVD
JACKSON, CA 95642
(38.350920389000066, -120.76646522799996)",-120.766465228,38.3509203890001,FALSE,FALSE,FALSE,FALSE
50015,2,2,4,"Northern Inyo Hospital",2007,"RURAL",40,10,22.082,0.07432,0,48.882,1.25484,NA,"18","6","1",93514,NA,NA,NA,NA,NA,NA,-118.4061853,37.3619709,FALSE,FALSE,FALSE,FALSE
50016,1,1,2,"Arroyo Grande Community Hospital",2008,"OURBAN",53,25,8.949,0,0,52.468,1.33326,NA,"39","3","1",93420,NA,NA,NA,NA,NA,NA,-120.5904213,35.1134961,FALSE,FALSE,FALSE,FALSE
50016,1,1,2,"Arroyo Grande Community Hospital",2007,"OURBAN",53,25,14.209,0,0,52.468,1.30347,NA,"39","3","1",93420,NA,NA,NA,NA,NA,NA,-120.5904213,35.1134961,FALSE,FALSE,FALSE,FALSE
50016,1,1,2,"Arroyo Grande Community Hospital",2010,"OURBAN",53,31,14.986,0,0,43.7485644,1.376156729,NA,"39","3","1",93420,NA,NA,NA,NA,NA,NA,-120.5904213,35.1134961,FALSE,FALSE,FALSE,FALSE
50016,1,1,2,"Arroyo Grande Community Hospital",2011,"OURBAN",53,27,17.969,0.0443,0,59.638,1.42543,NA,"39","3","1",93420,NA,NA,NA,NA,NA,NA,-120.5904213,35.1134961,FALSE,FALSE,FALSE,FALSE
50016,1,1,2,"Arroyo Grande Community Hospital",2009,"OURBAN",53,36,14.988,0,0,56.24,1.26731,NA,"39","3","1",93420,NA,NA,NA,NA,NA,NA,-120.5904213,35.1134961,FALSE,FALSE,FALSE,FALSE
50017,3,3,6,"Mercy General Hospital",2009,"LURBAN",274,186,34.886,0.17996,0.0732,33.04,1.98681,"Mercy General Hospital","4001 J St","Sacramento","CA",95819,"Sacramento",9164534545,"Acute Care Hospitals","Voluntary non-profit - Church","true","4001 J ST
SACRAMENTO, CA 95819
(38.56945754900005, -121.45268246499995)",-121.452682465,38.569457549,FALSE,FALSE,FALSE,FALSE
50017,3,3,6,"Mercy General Hospital",2010,"LURBAN",274,183,32.157,0.15744525,0.067284877,34.5321611,2.005692757,"Mercy General Hospital","4001 J St","Sacramento","CA",95819,"Sacramento",9164534545,"Acute Care Hospitals","Voluntary non-profit - Church","true","4001 J ST
SACRAMENTO, CA 95819
(38.56945754900005, -121.45268246499995)",-121.452682465,38.569457549,FALSE,FALSE,FALSE,FALSE
50017,3,3,6,"Mercy General Hospital",2008,"LURBAN",274,177,32.172,0.15757,0.06732,32.567,1.92652,"Mercy General Hospital","4001 J St","Sacramento","CA",95819,"Sacramento",9164534545,"Acute Care Hospitals","Voluntary non-profit - Church","true","4001 J ST
SACRAMENTO, CA 95819
(38.56945754900005, -121.45268246499995)",-121.452682465,38.569457549,FALSE,FALSE,FALSE,FALSE
50017,3,3,6,"Mercy General Hospital",2011,"LURBAN",274,188,32.854,0.1632,0.06879,32.05,2.10451,"Mercy General Hospital","4001 J St","Sacramento","CA",95819,"Sacramento",9164534545,"Acute Care Hospitals","Voluntary non-profit - Church","true","4001 J ST
SACRAMENTO, CA 95819
(38.56945754900005, -121.45268246499995)",-121.452682465,38.569457549,FALSE,FALSE,FALSE,FALSE
50017,3,3,6,"Mercy General Hospital",2007,"LURBAN",274,177,34.95,0.18049,0.07334,32.567,2.06715,"Mercy General Hospital","4001 J St","Sacramento","CA",95819,"Sacramento",9164534545,"Acute Care Hospitals","Voluntary non-profit - Church","true","4001 J ST
SACRAMENTO, CA 95819
(38.56945754900005, -121.45268246499995)",-121.452682465,38.569457549,FALSE,FALSE,FALSE,FALSE
50018,4,5,10,"Pacific Alliance Medical Center",2007,"LURBAN",115,64,108.203,0.78482,0.24497,46.428,1.23194,"Pacific Alliance Medical Center","531 W College St","Los Angeles","CA",90012,"Los Angeles",2136248411,"Acute Care Hospitals","Proprietary","false","531 W COLLEGE ST
LOS ANGELES, CA 90012
(34.064686692000066, -118.23937062999994)",-118.23937063,34.0646866920001,TRUE,TRUE,TRUE,FALSE
50018,4,5,10,"Pacific Alliance Medical Center",2010,"LURBAN",119,64,117.402,0.8607165,0.268378166,48.1234789,1.379098969,"Pacific Alliance Medical Center","531 W College St","Los Angeles","CA",90012,"Los Angeles",2136248411,"Acute Care Hospitals","Proprietary","false","531 W COLLEGE ST
LOS ANGELES, CA 90012
(34.064686692000066, -118.23937062999994)",-118.23937063,34.0646866920001,TRUE,TRUE,TRUE,FALSE
50018,4,5,10,"Pacific Alliance Medical Center",2008,"LURBAN",115,64,117.608,0.86242,0.26891,46.428,1.24518,"Pacific Alliance Medical Center","531 W College St","Los Angeles","CA",90012,"Los Angeles",2136248411,"Acute Care Hospitals","Proprietary","false","531 W COLLEGE ST
LOS ANGELES, CA 90012
(34.064686692000066, -118.23937062999994)",-118.23937063,34.0646866920001,TRUE,TRUE,TRUE,FALSE
50018,4,5,10,"Pacific Alliance Medical Center",2009,"LURBAN",115,64,115.489,0.84493,0.26347,46.52,1.33106,"Pacific Alliance Medical Center","531 W College St","Los Angeles","CA",90012,"Los Angeles",2136248411,"Acute Care Hospitals","Proprietary","false","531 W COLLEGE ST
LOS ANGELES, CA 90012
(34.064686692000066, -118.23937062999994)",-118.23937063,34.0646866920001,TRUE,TRUE,TRUE,FALSE
50018,4,5,10,"Pacific Alliance Medical Center",2011,"LURBAN",119,60,113.397,0.82768,0.25813,46.864,1.26925,"Pacific Alliance Medical Center","531 W College St","Los Angeles","CA",90012,"Los Angeles",2136248411,"Acute Care Hospitals","Proprietary","false","531 W COLLEGE ST
LOS ANGELES, CA 90012
(34.064686692000066, -118.23937062999994)",-118.23937063,34.0646866920001,TRUE,TRUE,TRUE,FALSE
50022,3,4,7,"Riverside Community Hospital",2007,"LURBAN",336,218,44.197,0.25678,0.09363,27.811,1.57124,"Riverside Community Hospital","4445 Magnolia Avenue","Riverside","CA",92501,"Riverside",9517883000,"Acute Care Hospitals","Government - State","true","4445 MAGNOLIA AVENUE
RIVERSIDE, CA 92501
(33.97596790600005, -117.38013482099996)",-117.380134821,33.9759679060001,FALSE,FALSE,FALSE,FALSE
50022,3,4,7,"Riverside Community",2011,"LURBAN",373,244,41.149,0.23163,0.0869,28.565,1.77964,"Riverside Community Hospital","4445 Magnolia Avenue","Riverside","CA",92501,"Riverside",9517883000,"Acute Care Hospitals","Government - State","true","4445 MAGNOLIA AVENUE
RIVERSIDE, CA 92501
(33.97596790600005, -117.38013482099996)",-117.380134821,33.9759679060001,FALSE,FALSE,FALSE,FALSE
50022,3,4,7,"Riverside Community Hospital",2010,"LURBAN",375,245,47.204,0.281583,0.100305755,28.0293593,1.702186104,"Riverside Community Hospital","4445 Magnolia Avenue","Riverside","CA",92501,"Riverside",9517883000,"Acute Care Hospitals","Government - State","true","4445 MAGNOLIA AVENUE
RIVERSIDE, CA 92501
(33.97596790600005, -117.38013482099996)",-117.380134821,33.9759679060001,FALSE,FALSE,FALSE,FALSE
50022,3,4,7,"Riverside Community Hospital",2008,"LURBAN",336,218,43.058,0.24738,0.09111,27.811,1.59301,"Riverside Community Hospital","4445 Magnolia Avenue","Riverside","CA",92501,"Riverside",9517883000,"Acute Care Hospitals","Government - State","true","4445 MAGNOLIA AVENUE
RIVERSIDE, CA 92501
(33.97596790600005, -117.38013482099996)",-117.380134821,33.9759679060001,FALSE,FALSE,FALSE,FALSE
50022,3,4,7,"Riverside Community Hospital",2009,"LURBAN",375,244,47.342,0.28272,0.10061,28,1.63446,"Riverside Community Hospital","4445 Magnolia Avenue","Riverside","CA",92501,"Riverside",9517883000,"Acute Care Hospitals","Government - State","true","4445 MAGNOLIA AVENUE
RIVERSIDE, CA 92501
(33.97596790600005, -117.38013482099996)",-117.380134821,33.9759679060001,FALSE,FALSE,FALSE,FALSE
50024,4,5,9,"Paradise Valley Hospital",2011,"LURBAN",240,129,70.568,0.47434,0.15361,43.222,1.29609,"Paradise Valley Hospital","2400 East 4Th St","National City","CA",91950,"San Diego",6194704321,"Acute Care Hospitals","Proprietary","true","2400 EAST 4TH ST
NATIONAL CITY, CA 91950
(32.68634331700002, -117.08304200099997)",-117.083042001,32.686343317,TRUE,TRUE,FALSE,FALSE
50024,4,5,9,"Paradise Valley Hospital",2010,"LURBAN",279,183,73.547,0.49891275,0.16059485,40.3045327,1.268418415,"Paradise Valley Hospital","2400 East 4Th St","National City","CA",91950,"San Diego",6194704321,"Acute Care Hospitals","Proprietary","true","2400 EAST 4TH ST
NATIONAL CITY, CA 91950
(32.68634331700002, -117.08304200099997)",-117.083042001,32.686343317,TRUE,TRUE,FALSE,FALSE
50024,4,5,9,"Paradise Valley Hospital",2007,"LURBAN",279,187,77.906,0.53487,0.17088,39.659,1.1757,"Paradise Valley Hospital","2400 East 4Th St","National City","CA",91950,"San Diego",6194704321,"Acute Care Hospitals","Proprietary","true","2400 EAST 4TH ST
NATIONAL CITY, CA 91950
(32.68634331700002, -117.08304200099997)",-117.083042001,32.686343317,TRUE,TRUE,FALSE,FALSE
50024,4,5,9,"Paradise Valley Hospital",2008,"LURBAN",279,187,76.233,0.52107,0.16692,39.659,1.2195,"Paradise Valley Hospital","2400 East 4Th St","National City","CA",91950,"San Diego",6194704321,"Acute Care Hospitals","Proprietary","true","2400 EAST 4TH ST
NATIONAL CITY, CA 91950
(32.68634331700002, -117.08304200099997)",-117.083042001,32.686343317,TRUE,TRUE,FALSE,FALSE
50024,4,5,9,"Paradise Valley Hospital",2009,"LURBAN",279,178,73.633,0.49962,0.1608,38.19,1.18987,"Paradise Valley Hospital","2400 East 4Th St","National City","CA",91950,"San Diego",6194704321,"Acute Care Hospitals","Proprietary","true","2400 EAST 4TH ST
NATIONAL CITY, CA 91950
(32.68634331700002, -117.08304200099997)",-117.083042001,32.686343317,TRUE,TRUE,FALSE,FALSE
50025,3,4,7,"Univ Of California San Diego Med Ctr",2009,"LURBAN",444,320,48.683,0.29378,0.10361,21.39,1.87676,"University Of California San Diego Medical Center","200 West Arbor Drive","San Diego","CA",92103,"San Diego",6195436222,"Acute Care Hospitals","Voluntary non-profit - Other","true","200 WEST ARBOR DRIVE
SAN DIEGO, CA 92103
(32.753805374000024, -117.16508726099994)",-117.165087261,32.753805374,FALSE,FALSE,FALSE,TRUE
50025,3,4,7,"Ucsd Medical Center",2011,"LURBAN",457,329,44.298,0.25761,0.09385,21.472,1.95831,"University Of California San Diego Medical Center","200 West Arbor Drive","San Diego","CA",92103,"San Diego",6195436222,"Acute Care Hospitals","Voluntary non-profit - Other","true","200 WEST ARBOR DRIVE
SAN DIEGO, CA 92103
(32.753805374000024, -117.16508726099994)",-117.165087261,32.753805374,FALSE,FALSE,FALSE,TRUE
50025,3,4,7,"Univ Of California San Diego Med Ctr",2008,"LURBAN",407,303,49.334,0.29916,0.10506,22.348,1.94568,"University Of California San Diego Medical Center","200 West Arbor Drive","San Diego","CA",92103,"San Diego",6195436222,"Acute Care Hospitals","Voluntary non-profit - Other","true","200 WEST ARBOR DRIVE
SAN DIEGO, CA 92103
(32.753805374000024, -117.16508726099994)",-117.165087261,32.753805374,FALSE,FALSE,FALSE,TRUE
50025,3,4,7,"Univ Of California San Diego Med Ctr",2007,"LURBAN",407,303,50.912,0.31217,0.1086,22.348,1.95624,"University Of California San Diego Medical Center","200 West Arbor Drive","San Diego","CA",92103,"San Diego",6195436222,"Acute Care Hospitals","Voluntary non-profit - Other","true","200 WEST ARBOR DRIVE
SAN DIEGO, CA 92103
(32.753805374000024, -117.16508726099994)",-117.165087261,32.753805374,FALSE,FALSE,FALSE,TRUE
50025,3,4,7,"Univ Of California San Diego Med Ctr",2010,"LURBAN",455,336,47.225,0.28175625,0.100352546,21.9071922,1.868230849,"University Of California San Diego Medical Center","200 West Arbor Drive","San Diego","CA",92103,"San Diego",6195436222,"Acute Care Hospitals","Voluntary non-profit - Other","true","200 WEST ARBOR DRIVE
SAN DIEGO, CA 92103
(32.753805374000024, -117.16508726099994)",-117.165087261,32.753805374,FALSE,FALSE,FALSE,TRUE
50026,3,3,6,"Grossmont Hospital",2010,"LURBAN",375,273,31.96,0.15582,0.066859195,31.4628161,1.648606952,"Grossmont Hospital","5555 Grossmont Center Drive Box 58","La Mesa","CA",91942,"San Diego",6194650711,"Acute Care Hospitals","Government - Hospital District or Authority","true","5555 GROSSMONT CENTER DRIVE BOX 58
LA MESA, CA 91942
(32.779943668000044, -117.00963598799996)",-117.009635988,32.779943668,FALSE,FALSE,FALSE,FALSE
