Provider Number	Name	Geographic Labor Market Area	Pre Reclass Labor Market Area  	Payment Labor Market Area (for purposes of Capital and DSH)	SSA COUNTY CODE	REGION	URGEO	URSPA	RECLASS	POST RECLASS Labor Market Area	FY 2011 Wage Index	 FY 2011 Puerto Rico Specific wage index	LUGAR	Section 401 hospital	Section 505 eligible	Section 505 wage adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	BEDS	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPG	DSHCPG	Operating CCR	Capital CCR	Provider Type	FY11 HSP Rate	BILLS	TACMIV27	CMIV27	CASETA27	IME_TACMIV27	IME_CASETA27	TACMIV28	CMIV28	CASETA28	IME_TACMIV28	IME_CASETA28	FY 2011 GAF	FY 2011 Puerto Rico Specific GAF	Cost of Living Adjustment-Capital	OUT11F	COUT11F	MCR_PCT
010016	SHELBY BAPTIST MEDICAL CENTER	13820	13820	13820	1580	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0	0	192	120	0	0	0.24118	0.09112	0.05005	0.185	0.015	0	.	3335	1.57004	1.5841	3280.47	.	.	1.56444	1.57472	3289.84	.	.	0.9009	0	1	0.0188	0.0216	0.41381
010018	CALLAHAN EYE FOUNDATION HOSP	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.402	1.5	20	1	0.19798	0.52699	0.18304	0.04648	0	0.943	0.093	0	.	49	1.20642	1.20642	49	1.73198	14	1.25021	1.25021	49	1.79287	14	0.9009	0	1	0.0328	0.0441	0.39633
010019	HELEN KELLER HOSPITAL	22520	22520	22520	1160	5	OURBAN	OURBAN	N	22520	0.8112	0				.	1	0	0	185	80	0	0	0.27823	0.12169	0.05796	0.363	0.033	0	.	3238	1.36572	1.37384	3188.37	.	.	1.37611	1.38294	3195.55	.	.	0.8665	0	1	0.005	0.0077	0.55969
010021	DALE MEDICAL CENTER	1	1	1	1220	5	RURAL	RURAL	N	1	0.7488	0			YES	0.0052	1	0	0	77	23	0	0	0.47285	0.12	0	0.39	0.023	0	.	873	1.31144	1.3275	832.74	.	.	1.32974	1.34454	835.18	.	.	0.8203	0	1	0.002	0.0014	0.53042
010022	CHEROKEE MEDICAL CENTER	1	1	40660	1090	5	RURAL	OURBAN	L	12060	0.9522	0	LUGAR			.	1	0	0	45	9	0	0	0.19924	0.05701	0	0.303	0.027	14	4123.81	606	0.91509	0.91631	596.1	.	.	0.91431	0.91531	597.33	.	.	0.9670	0	1	0	0	0.67874
010023	BAPTIST MEDICAL CENTER SOUTH	33860	33860	33860	1500	5	OURBAN	OURBAN	N	33860	0.8579	0				.	1	0.0951	0.1369	355	239	0.05059	0.03939	0.45674	0.26896	0.0969	0.214	0.014	0	.	5253	1.74813	1.78595	5157.82	1.869	1340.38	1.74821	1.78197	5171.26	1.85634	1343.6	0.9004	0	1	0.0132	0.0102	0.29297
010024	JACKSON HOSPITAL AND CLINIC  INC	33860	33860	33860	1500	5	OURBAN	OURBAN	N	33860	0.8579	0				.	1	0	0	255	162	0	0	0.28689	0.12883	0.05982	0.238	0.031	0	.	4724	1.63278	1.67051	4644.03	.	.	1.63295	1.66642	4655.79	.	.	0.9004	0	1	0.0114	0.0319	0.43095
010025	GEORGE H. LANIER MEMORIAL HOSPITAL	1	1	1	1080	5	RURAL	RURAL	W	17980	0.8567	0				.	1	0	0	101	34	0	0	0.31263	0.15007	0	0.481	0.037	7	.	1400	1.41066	1.43073	1366.5	.	.	1.43103	1.45071	1368.46	.	.	0.8995	0	1	0.0061	0.0074	0.56148
010027	ELBA GENERAL HOSPITAL	1	1	1	1150	5	RURAL	RURAL	N	1	0.7462	0			YES	0.0026	1	0	0	20	6	0	0	0.35205	0.12	0	0.53	0.051	0	.	447	0.75378	0.75484	441.12	.	.	0.76896	0.76979	441.55	.	.	0.8183	0	1	0	0	0.58958
010029	EAST ALABAMA MEDICAL CENTER	12220	12220	12220	1400	5	OURBAN	OURBAN	W	17980	0.8567	0				.	1	0	0	262	194	0	0	0.27427	0.11842	0.05711	0.398	0.063	7	.	5671	1.64836	1.65873	5626.58	.	.	1.65898	1.66734	5633.08	.	.	0.8995	0	1	0.0209	0.0758	0.49571
010032	WEDOWEE HOSPITAL	1	1	1	1550	5	RURAL	RURAL	N	1	0.7745	0			YES	0.0309	1	0	0	34	9	0	0	0.1801	0.04456	0	0.374	0.015	0	.	400	0.85664	0.86263	388.03	.	.	0.86661	0.87264	388.96	.	.	0.8395	0	1	0	0	0.50649
010033	UNIVERSITY OF ALABAMA HOSPITAL	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.2959	0.5926	963	671	0.14943	0.18203	0.40594	0.22705	0.08568	0.254	0.021	0	.	9845	2.22069	2.23564	9693.82	1.89639	2919.88	2.20398	2.21688	9716.23	1.86919	2925.22	0.9009	0	1	0.1647	0.1928	0.26229
010034	COMMUNITY HOSPITAL  INC.	33860	33860	33860	1250	5	OURBAN	OURBAN	N	33860	0.8579	0				.	1	0	0	59	20	0	0	0.2264	0.07893	0	0.439	0.042	0	.	792	1.16235	1.1777	775.09	.	.	1.13294	1.14541	778.12	.	.	0.9004	0	1	0	0	0.53682
010035	CULLMAN REGIONAL	1	1	1	1210	5	RURAL	RURAL	W	13820	0.8409	0				.	1	0	0	115	67	0	0	0.26832	0.11351	0	0.285	0.044	7	.	3167	1.3512	1.35699	3111.94	.	.	1.36973	1.37464	3116.62	.	.	0.8881	0	1	0.0223	0.0751	0.55501
010036	ANDALUSIA REGIONAL HOSPITAL	1	1	1	1190	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	88	34	0	0	0.33505	0.16857	0	0.248	0.018	14	1928.12	1570	1.18317	1.19811	1533.57	.	.	1.20088	1.21382	1537.32	.	.	0.8164	0	1	0.0014	0.0015	0.60471
010038	STRINGFELLOW MEMORIAL HOSPITAL	11500	11500	11500	1070	5	OURBAN	OURBAN	N	11500	0.7864	0				.	1	0	0	125	54	0	0	0.25821	0.10517	0.05368	0.156	0.013	0	.	2313	1.37068	1.3893	2277.43	.	.	1.37782	1.39534	2280.08	.	.	0.8483	0	1	0.0099	0.0127	0.56461
010039	HUNTSVILLE HOSPITAL	26620	26620	26620	1440	5	OURBAN	OURBAN	N	26620	0.9033	0				.	1	0.0402	0.059	786	538	0.02172	0.01679	0.27347	0.11776	0.05694	0.224	0.019	0	.	13836	1.85286	1.86427	13670.36	1.82988	1763.23	1.85015	1.85959	13697.28	1.83177	1765.21	0.9327	0	1	0.0422	0.052	0.42634
010040	GADSDEN REGIONAL MEDICAL CENTER	23460	23460	23460	1270	5	OURBAN	OURBAN	N	23460	0.7497	0			YES	0.0061	1	0	0	233	159	0	0	0.25993	0.10659	0.05405	0.12	0.007	0	.	4647	1.64803	1.65834	4601.16	.	.	1.65547	1.66404	4607.95	.	.	0.8210	0	1	0.0149	0.007	0.55132
010043	CHILTON MEDICAL CENTER	13820	13820	13820	1100	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0	0	27	6	0	0	0.16709	0.03611	0	0.421	0.026	0	.	287	1.2588	1.27151	266.91	.	.	1.255	1.26705	268.73	.	.	0.9009	0	1	0	0	0.46374
010044	MARION REGIONAL MEDICAL CENTER	1	1	1	1460	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	36	8	0	0	0.18179	0.04566	0	0.383	0.035	0	.	614	1.00804	1.0213	595	.	.	1.02477	1.03755	596.78	.	.	0.8164	0	1	0.0112	0.0159	0.66883
010045	FAYETTE MEDICAL CENTER DCH	1	1	1	1280	5	RURAL	RURAL	N	1	0.7811	0			YES	0.0375	1	0	0	42	21	0	0	0.18693	0.049	0	0.323	0.025	14	4555.94	848	1.0398	1.0477	830.56	.	.	1.04239	1.05095	831.84	.	.	0.8444	0	1	0.0071	0.0086	0.65293
010046	RIVERVIEW REGIONAL MEDICAL CENTER	23460	23460	23460	1270	5	OURBAN	OURBAN	W	13820	0.8409	0				.	1	0	0	256	131	0	0	0.20045	0.05779	0.04143	0.141	0.011	0	.	4304	1.54805	1.55913	4269.36	.	.	1.55533	1.56493	4274.29	.	.	0.8881	0	1	0.0204	0.0204	0.65737
010047	GEORGIANA HOSPITAL	1	1	1	1060	5	RURAL	RURAL	N	1	0.7702	0			YES	0.0266	1	0	0	22	17	0	0	0.26039	0.10697	0	0.498	0.018	14	2792.81	999	0.86608	0.87422	977.06	.	.	0.87785	0.88514	978.93	.	.	0.8363	0	1	0	0	.
010049	MEDICAL CENTER ENTERPRISE	1	1	1	1150	5	RURAL	RURAL	N	1	0.7462	0			YES	0.0026	1	0	0	117	42	0	0	0.29643	0.12	0	0.162	0.014	0	.	1644	1.06584	1.07384	1620.14	.	.	1.08225	1.08872	1621.99	.	.	0.8183	0	1	0	0	0.49954
010050	ST. VINCENT S BLOUNT	13820	13820	13820	1040	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0	0	40	18	0	0	0.17232	0.03951	0	0.428	0.029	0	.	698	1.01415	1.02052	679.3	.	.	1.01664	1.02222	681.77	.	.	0.9009	0	1	0.0003	0.0001	0.64945
010051	GREENE COUNTY HOSPITAL	46220	46220	46220	1310	5	OURBAN	OURBAN	N	46220	0.9061	0				.	1	0	0	24	4	0	0	0.56781	0.12	0	0.808	0.024	0	.	317	0.85093	0.85967	309.61	.	.	0.80791	0.81427	311.65	.	.	0.9347	0	1	0.001	0	0.64861
010052	LAKE MARTIN COMMUNITY HOSPITAL	1	1	1	1610	5	RURAL	RURAL	W	33860	0.8579	0				.	1	0	0	46	11	0	0	0.30939	0.1474	0	0.409	0.031	14	3352.88	589	0.933	0.94068	568.51	.	.	0.91449	0.92103	570.77	.	.	0.9004	0	1	0	0	0.52845
010054	PARKWAY MEDICAL CENTER	19460	19460	19460	1510	5	OURBAN	OURBAN	W	26620	0.862	0				.	1	0	0	109	41	0	0	0.2693	0.11432	0.05605	0.127	0.009	0	.	1695	1.06077	1.06667	1670.62	.	.	1.06841	1.07341	1673.28	.	.	0.9033	0	1	0.0017	0.0013	0.45005
010055	FLOWERS HOSPITAL	20020	20020	20020	1340	5	OURBAN	OURBAN	W	37460	0.8108	0				.	1	0	0	235	139	0	0	0.20184	0.0587	0.04172	0.153	0.012	0	.	5198	1.58678	1.59424	5155.43	.	.	1.59735	1.60347	5162.77	.	.	0.8662	0	1	0.0145	0.0148	0.53467
010056	ST VINCENT S HOSPITAL	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.0026	0.0035	414	295	0.00142	0.00099	0.07625	0	0.01556	0.36	0.04	0	.	6923	1.60804	1.61747	6854.67	.	.	1.61736	1.62485	6866.8	.	.	0.9009	0	1	0.0452	0.0847	0.35305
010058	BIBB MEDICAL CENTER	13820	13820	13820	1030	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0	0	25	4	0	0	0.16714	0.03614	0	0.673	0.033	0	.	143	0.97736	0.9804	141.37	.	.	0.95483	0.95823	141.47	.	.	0.9009	0	1	0	0	0.60988
010059	LAWRENCE MEDICAL CENTER	19460	19460	19460	1390	5	OURBAN	OURBAN	W	26620	0.862	0				.	1	0	0	37	22	0	0	0.20925	0.06478	0	0.321	0.026	0	.	1019	1.04608	1.05638	990.46	.	.	1.05781	1.06797	992.18	.	.	0.9033	0	1	0.0097	0.0105	0.63889
010061	HIGHLANDS MEDICAL CENTER	1	1	1	1350	5	RURAL	RURAL	W	16860	0.8635	0				.	1	0	0	170	55	0	0	0.37431	0.12	0	0.368	0.027	16	1835.39	2452	0.95553	0.96127	2409.4	.	.	0.96341	0.96849	2414.24	.	.	0.9044	0	1	0.0037	0.0036	0.61886
010062	WIREGRASS MEDICAL CENTER	20020	20020	20020	1300	5	OURBAN	OURBAN	N	20020	0.7515	0				.	1	0	0	73	20	0	0	0.23222	0.08373	0	0.491	0.047	0	.	953	1.06115	1.0748	933.94	.	.	1.07349	1.08676	935.1	.	.	0.8223	0	1	0.0078	0.0128	0.61381
010064	PHYSICIANS-CARRAWAY MEDICAL CENTER	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.269	0.6872	185	77	0.13674	0.21401	0.17094	0.03861	0.03522	0.266	0.013	0	.	101	1.58272	1.58518	97.56	1.42039	24.45	1.58624	1.58629	98.17	1.39766	24.65	0.9009	0	1	0.1611	0.0687	0.47243
010065	RUSSELL MEDICAL CENTER	1	1	1	1610	5	RURAL	RURAL	W	13820	0.8409	0				.	1	0	0	75	31	0	0	0.30562	0.14429	0	0.356	0.039	7	.	1486	1.49521	1.51839	1426.05	.	.	1.50873	1.53087	1430.72	.	.	0.8881	0	1	0.004	0.0119	0.51548
010066	FLORALA MEMORIAL HOSPITAL	1	1	1	1190	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	22	3	0	0	0.24693	0.09587	0	0.446	0.014	0	.	317	0.80643	0.81093	311.68	.	.	0.81551	0.82009	311.96	.	.	0.8164	0	1	0	0	0.84093
010069	SEAR	1	1	1	1020	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	29	12	0	0	0.24124	0.09117	0	0.304	0.017	16	5006.11	739	0.9571	0.96555	723.57	.	.	0.94862	0.95312	725.4	.	.	0.8164	0	1	0.0101	0.0042	0.62167
010073	CLAY COUNTY HOSPITAL	1	1	1	1130	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	46	17	0	0	0.15849	0.03052	0	0.451	0.02	0	.	862	0.9617	0.97097	836.24	.	.	0.97651	0.98556	838.06	.	.	0.8164	0	1	0.0037	0.0007	0.74098
010078	NORTHEAST ALABAMA REGIONAL MED CTR	11500	11500	11500	1070	5	OURBAN	OURBAN	N	11500	0.7864	0				.	1	0.0284	0.04123	241	166	0.0154	0.0117	0.27288	0.11728	0.05681	0.194	0.017	0	.	5415	1.73114	1.74567	5341.52	.	.	1.72966	1.7419	5351.64	.	.	0.8483	0	1	0.0084	0.0126	0.54165
010079	ATHENS LIMESTONE	26620	26620	26620	1410	5	OURBAN	OURBAN	N	26620	0.9033	0				.	1	0	0	135	41	0	0	0.30249	0.1417	0.06317	0.433	0.049	0	.	1833	1.34672	1.35859	1780.63	.	.	1.35229	1.36212	1786.37	.	.	0.9327	0	1	0.0469	0.0928	0.60765
010083	SOUTH BALDWIN REGIONAL MEDICAL CENTE	1	1	1	1010	5	RURAL	RURAL	W	37860	0.7981	0				.	1	0	0	112	70	0	0	0.21833	0.07227	0	0.183	0.021	7	.	2659	1.18987	1.20051	2625.28	.	.	1.20672	1.21609	2627.63	.	.	0.8569	0	1	0.0169	0.039	0.5327
010085	DECATUR GENERAL	19460	19460	19460	1510	5	OURBAN	OURBAN	W	26620	0.862	0				.	1	0	0	178	84	0	0	0.21724	0.07137	0.04497	0.481	0.059	0	.	3340	1.46593	1.47369	3276.89	.	.	1.4807	1.48782	3283.13	.	.	0.9033	0	1	0.0036	0.0125	0.52218
010086	NORTHWEST MEDICAL CENTER	1	1	1	1460	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	61	22	0	0	0.27995	0.12311	0	0.251	0.024	14	1917.94	1193	1.09926	1.11138	1169.03	.	.	1.11052	1.12126	1171.47	.	.	0.8164	0	1	0.0063	0.0116	0.63441
010087	UNIV OF SOUTH ALABAMA MEDICAL CENTER	33660	33660	33660	1480	5	OURBAN	OURBAN	N	33660	0.7889	0				.	1	0.9003	1.0626	131	107	0.40088	0.34968	0.44222	0.25698	0.09368	0.476	0.011	0	.	991	2.43591	2.47206	980.44	2.35209	292.48	2.41891	2.45074	981.39	2.33021	292.66	0.8501	0	1	0.0544	0.0014	0.20289
010089	WALKER - BAPTIST MEDICAL CENTER	13820	13820	13820	1630	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0	0	139	56	0	0	0.31018	0.14805	0.06483	0.2	0.03	0	.	2258	1.38452	1.3929	2209.97	.	.	1.37563	1.38149	2218.76	.	.	0.9009	0	1	0.01	0.0305	0.49538
010090	PROVIDENCE HOSPITAL	33660	33660	33660	1480	5	OURBAN	OURBAN	N	33660	0.7889	0				.	1	0	0	349	200	0	0	0.2095	0.06499	0.04334	0.293	0.019	0	.	4931	1.82519	1.83751	4878.72	.	.	1.84659	1.85753	4885.21	.	.	0.8501	0	1	0.0289	0.019	0.401
010091	GROVE HILL MEMORIAL HOSPITAL	1	1	1	1120	5	RURAL	RURAL	N	1	0.7491	0			YES	0.0055	1	0	0	24	8	0	0	0.50512	0.12	0	0.402	0.03	0	.	323	0.85493	0.86314	311.17	.	.	0.8692	0.87708	312.19	.	.	0.8205	0	1	0	0	0.42376
010092	DCH REGIONAL MEDICAL CENTER	46220	46220	46220	1620	5	OURBAN	OURBAN	N	46220	0.9061	0				.	1	0.0707	0.091	476	369	0.03787	0.02601	0.31983	0.15601	0.06691	0.229	0.02	0	.	11065	1.55725	1.5695	10892.18	1.51135	1819.11	1.5725	1.58337	10913.44	1.52756	1822.19	0.9347	0	1	0.0207	0.0278	0.53432
010095	HALE COUNTY HOSPITAL	46220	46220	46220	1320	5	OURBAN	OURBAN	N	46220	0.9061	0				.	1	0	0	28	5	0	0	0.4202	0.12	0	0.472	0.058	0	.	363	0.78836	0.79819	348.45	.	.	0.78952	0.79706	350.08	.	.	0.9347	0	1	0	0	0.56433
010097	ELMORE COMMUNITY HOSPITAL	33860	33860	33860	1250	5	OURBAN	OURBAN	N	33860	0.8579	0				.	1	0	0	69	15	0	0	0.27101	0.11573	0	0.559	0.069	0	.	751	0.80809	0.81742	729.59	.	.	0.81526	0.82326	731.15	.	.	0.9004	0	1	0	0	0.6302
010099	D.W. MCMILLAN MEMORIAL HOSPITAL	1	1	1	1260	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	64	30	0	0	0.32	0.12	0	0.411	0.029	0	.	1239	0.93487	0.9396	1222.29	.	.	0.94558	0.94978	1224.16	.	.	0.8164	0	1	0.0073	0.0069	0.55557
010100	THOMAS HOSPITAL	1	1	1	1010	5	RURAL	RURAL	W	37860	0.7981	0				.	1	0	0	129	90	0	0	0.13058	0	0	0.275	0.026	7	.	3129	1.73053	1.74428	3094.86	.	.	1.75704	1.76873	3099.17	.	.	0.8569	0	1	0.0276	0.0425	0.4939
010101	CITIZENS BAPTIST MEDICAL CENTER	1	1	11500	1600	5	RURAL	OURBAN	L	13820	0.8409	0	LUGAR			.	1	0	0	82	29	0	0	0.52786	0.12	0	0.248	0.021	7	.	1217	1.12827	1.14754	1168.68	.	.	1.13014	1.14747	1173.54	.	.	0.8881	0	1	0.0016	0.0029	0.37483
010102	JOHN PAUL JONES	1	1	1	1650	5	RURAL	RURAL	W	33860	0.8579	0				.	1	0	0	30	2	0	0	0.35106	0.12	0	0.847	0.126	16	2420.12	123	0.93735	0.94385	118.34	.	.	0.93887	0.94615	118.71	.	.	0.9004	0	1	0	0	0.56776
010103	BMC PRINCETON	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.1421	0.1974	268	177	0.07464	0.05729	0.23321	0.08455	0.04836	0.156	0.012	0	.	4617	1.9434	1.95992	4536.4	1.91669	2170.71	1.94779	1.96097	4546.48	1.90872	2175.96	0.9009	0	1	0.0213	0.0212	0.42016
010104	TRINITY MEDICAL CENTER	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.1081	0.1821	307	179	0.05731	0.05273	0.1985	0.05652	0.04102	0.178	0.005	0	.	4431	1.67905	1.68238	4405.64	1.81781	496.95	1.6921	1.69422	4410.2	1.83981	497.19	0.9009	0	1	0.0858	0.0078	0.43949
010108	PRATTVILLE BAPTIST HOSPITAL	33860	33860	33860	1000	5	OURBAN	OURBAN	N	33860	0.8579	0				.	1	0	0	50	20	0	0	0.17006	0.03804	0	0.193	0.017	0	.	932	1.03583	1.05107	901.51	.	.	1.00449	1.0158	906.62	.	.	0.9004	0	1	0	0	0.51938
010109	PICKENS COUNTY MEDICAL CENTER	1	1	1	1530	5	RURAL	RURAL	N	1	0.7841	0			YES	0.0405	1	0	0	40	15	0	0	0.42326	0.12	0	0.464	0.039	16	7017.54	766	1.01159	1.01485	748.16	.	.	1.02285	1.02596	749.65	.	.	0.8466	0	1	0.0097	0.014	0.6485
010110	BULLOCK COUNTY HOSPITAL	1	1	1	1050	5	RURAL	RURAL	N	1	0.7886	0			YES	0.045	1	0	0	30	13	0	0	0.53553	0.12	0	0.41	0.044	16	2369.07	521	0.83834	0.84291	512.24	.	.	0.8497	0.85359	512.98	.	.	0.8499	0	1	0	0	0.55832
010112	BRYAN W. WHITFIELD MEMORIAL HOSPITAL	1	1	1	1450	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	99	35	0	0	0.51025	0.12	0	0.498	0.039	16	4740.95	1421	0.8979	0.90257	1398.79	.	.	0.91303	0.9173	1400.67	.	.	0.8164	0	1	0	0	0.55704
010113	MOBILE INFIRMARY MEDICAL CENTER	33660	33660	33660	1480	5	OURBAN	OURBAN	N	33660	0.7889	0				.	1	0.0107	0.0191	605	333	0.00583	0.0054	0.23764	0.0882	0.0493	0.314	0.021	0	.	9639	1.64573	1.65987	9514.03	1.6229	3696.48	1.66017	1.67242	9527.59	1.64209	3699.99	0.8501	0	1	0.0448	0.033	0.46217
010114	UAB MEDICAL WEST	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0	0	182	116	0	0	0.271	0.11572	0.05641	0.231	0.015	0	.	2493	1.49981	1.50837	2453.5	.	.	1.51006	1.51729	2457.38	.	.	0.9009	0	1	0.0354	0.0239	0.40012
010118	VAUGHAN REGIONAL MEDICAL CTR	1	1	1	1230	5	RURAL	RURAL	W	13820	0.8409	0				.	1	0.079	0.1577	149	78	0.04222	0.04551	0.57325	0.36508	0	0.241	0.016	17	4600.76	2811	1.29327	1.31554	2737.74	1.26967	383.64	1.30562	1.32548	2745.02	1.29255	384.04	0.8881	0	1	0.0095	0.0099	0.45622
010120	MONROE COUNTY HOSPITAL	1	1	1	1490	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	94	21	0	0	0.19477	0.0541	0	0.377	0.03	16	4055.3	1012	0.89572	0.90286	979.47	.	.	0.90331	0.91013	981.99	.	.	0.8164	0	1	0.005	0.0058	0.57297
010125	LAKELAND COMMUNITY HOSPITAL	1	1	1	1660	5	RURAL	RURAL	N	1	0.7861	0			YES	0.0425	1	0	0	47	22	0	0	0.28004	0.12	0	0.268	0.037	16	2129	1267	1.08107	1.08824	1238.37	.	.	1.09271	1.09942	1240.9	.	.	0.8481	0	1	0.0001	0.0011	0.70541
010126	TROY REGIONAL MEDICAL CENTER	1	1	1	1540	5	RURAL	RURAL	W	33860	0.8579	0				.	1	0	0	97	20	0	0	0.33777	0.12	0	0.252	0.028	0	.	997	1.00822	1.02002	960.37	.	.	1.00849	1.01904	964.14	.	.	0.9004	0	1	0.0033	0.0076	0.42868
010128	JACKSON MEDICAL CENTER	1	1	1	1120	5	RURAL	RURAL	N	1	0.7491	0			YES	0.0055	1	0	0	35	14	0	0	0.43502	0.12	0	0.513	0.053	0	.	475	0.96221	0.97594	457.06	.	.	0.9746	0.98839	458.05	.	.	0.8205	0	1	0.0019	0.0033	0.38588
010129	NORTH BALDWIN INFIRMARY	1	1	1	1010	5	RURAL	RURAL	N	1	0.7589	0			YES	0.0153	1	0	0	55	17	0	0	0.35905	0.12	0	0.372	0.093	0	.	466	1.15472	1.162	454.3	.	.	1.14648	1.15299	456.11	.	.	0.8278	0	1	0.0054	0.0414	0.37301
