Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),Section 505 wage adjustment,Section 505 eligible,Section 401 hosptial,Post Reclass Wage Index,COLA,RESBED,SSA COUNTY CODE,HSP Rate,RDAY,BEDS,ADC,OPCCR,CPCCR,DSHPCT,POST RECLASS Labor Market Area,Puerto Rico Specific Post Reclass wage index,PROVIDER TYPE,LUGAR,RECLASS,BILLS,CASETA24,TACMIV24,CMIV24,CASETA25,TACMIV25,CMIV25,REGION,URGEO,URSPA,TCHOP,TCHCP,Post Reclass GAF,Puerto Rico Specific Post Reclass GAF,COLACP,DSHOPG,DSHCPG,OUT08F,COUT08F,MCR_PCT
010016,BAPTIST SHELBY,13820,13820,13820,0,,,0.8856,1,0,1580,. ,0,174,123,0.189,0.015,0.24435,13820,0,0,,N,3717,3654.77,1.55976,1.57077,3662.18,1.55504,1.56562,5,LURBAN,LURBAN,0,0,0.9202,0,1,0.09374,0.05073,0.02986,0.02605,0.46771
010018,CALLAHAN EYE FOUNDATION HOSPITAL,13820,13820,13820,0,,,0.8856,1,0.4195,1360,. ,1.5,20,3,0.481,0.054,0.15941,13820,0,0,,N,100,98.14,1.48304,1.50436,98.24,1.42342,1.43826,5,LURBAN,LURBAN,0.20578,0.52699,0.9202,0,1,0.03112,0,0,0,0.3546
010019,HELEN KELLER HOSPITAL,22520,22520,22520,0,,,0.7693,1,0,1160,. ,0,185,79,0.375,0.044,0.27298,22520,0,0,,N,2861,2814.41,1.26166,1.27437,2821.46,1.2556,1.26641,5,OURBAN,OURBAN,0,0,0.8356,0,1,0.11736,0.05683,0.00962,0.01927,0.59624
010021,DALE MEDICAL CENTER,01,01,01,0,,,0.7567,1,0,1220,. ,0,79,23,0.335,0.028,0.29037,01,0,0,,N,936,896.41,1.17627,1.19352,899.46,1.17276,1.19166,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.00198,0.00289,0.58946
010022,CHEROKEE MEDICAL CENTER,01,01,12060,0,,,0.9813,1,0,1090,3955.09,0,45,11,0.338,0.046,0.18019,12060,0,14,LUGAR,L,780,752.08,0.95259,0.95888,756.42,0.94116,0.94499,5,RURAL,LURBAN,0,0,0.9872,0,1,0.04462,0,0.00054,0.00188,0.71284
010023,BAPTIST MEDICAL CENTER SOUTH,33860,33860,33860,0,,,0.8112,1,0.0924,1500,. ,0.1625,355,210,0.21,0.015,0.47,33860,0,0,,N,5985,5879.4,1.81328,1.83973,5898.3,1.82628,1.84522,5,OURBAN,OURBAN,0.0492,0.04693,0.8665,0,1,0.2799,0.09985,0.02537,0.02016,0.3704
010024,JACKSON HOSPITAL & CLINIC INC,33860,33860,33860,0,,,0.8112,1,0,1500,. ,0,255,148,0.287,0.04,0.28337,33860,0,0,,N,5616,5515.94,1.56547,1.59934,5535.78,1.5768,1.60316,5,OURBAN,OURBAN,0,0,0.8665,0,1,0.12593,0.05906,0.01493,0.04124,0.55578
010025,G H LANIER MEMORIAL HOSPITAL,01,01,01,0,,,0.8588,1,0,1080,. ,0,101,39,0.514,0.03,0.28877,17980,0,7,,W,1782,1743.16,1.29888,1.31226,1749.93,1.27047,1.28231,5,RURAL,RURAL,0,0,0.9010,0,1,0.13039,0,0.02695,0.01372,0.65203
010027,ELBA GENERAL HOSPITAL,01,01,01,0,,,0.7567,1,0,1150,. ,0,20,8,0.618,0.019,0.38028,01,0,0,,N,541,528.87,0.75669,0.76117,531.01,0.7619,0.76513,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0,0,0.54057
010029,EAST ALABAMA MEDICAL CENTER AND SNF,12220,12220,12220,0,,,0.8588,1,0,1400,. ,0,247,183,0.444,0.026,0.29042,17980,0,7,,W,6746,6698.88,1.55899,1.56536,6712.41,1.52975,1.53478,5,OURBAN,OURBAN,0,0,0.9010,0,1,0.13175,0.06057,0.01904,0.00623,0.54912
010032,WEDOWEE HOSPITAL,01,01,01,0.0325,YES,,0.7892,1,0,1550,. ,0,34,4,0.548,0.012,0.21275,01,0,0,,N,519,504.68,0.91977,0.928,508.36,0.87995,0.88769,5,RURAL,RURAL,0,0,0.8503,0,1,0.06767,0,0,0,0.69169
010033,UNIVERSITY OF ALABAMA HOSPITAL,13820,13820,13820,0,,,0.8856,1,0.298,1360,. ,0.4466,847,597,0.282,0.024,0.36551,13820,0,0,,N,10918,10737.92,2.05992,2.08639,10765.56,2.06098,2.07849,5,LURBAN,LURBAN,0.15041,0.13432,0.9202,0,1,0.1937,0.07682,0.15549,0.16588,0.30069
010034,COMMUNITY HOSPITAL INC,33860,33860,33860,0,,,0.8112,1,0,1250,. ,0,59,24,0.501,0.044,0.26399,33860,0,0,,N,947,927.05,1.04033,1.04673,929.72,1.04276,1.04869,5,OURBAN,OURBAN,0,0,0.8665,0,1,0.10994,0,0.00584,0.00772,0.617
010035,CULLMAN REGIONAL MEDICAL CENTER,01,01,01,0,,,0.869,1,0,1210,. ,0,115,76,0.265,0.037,0.23904,13820,0,7,,W,3325,3257.61,1.2984,1.31484,3271.57,1.28333,1.29898,5,RURAL,RURAL,0,0,0.9083,0,1,0.08936,0,0.02772,0.06326,0.61548
010036,ANDALUSIA REGIONAL HOSPITAL,01,01,01,0,,,0.7567,1,0,1190,. ,0,101,41,0.226,0.019,0.33202,01,0,0,,N,2325,2279.57,1.16419,1.17111,2285.77,1.14287,1.14875,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.00162,0.00205,0.59589
010038,STRINGFELLOW MEMORIAL HOSPITAL,11500,11500,11500,0.0047,YES,,0.8023,1,0,1070,. ,0,125,59,0.182,0.016,0.18268,11500,0,0,,N,2230,2194.76,1.27506,1.28454,2199.37,1.25442,1.2625,5,OURBAN,OURBAN,0,0,0.8600,0,1,0.04624,0.03769,0.00751,0.00834,0.60566
010039,HUNTSVILLE HOSPITAL,26620,26620,26620,0,,,0.9018,1,0.0435,1440,. ,0.0654,713,520,0.229,0.017,0.21706,26620,0,0,,N,16419,16270.57,1.65715,1.66296,16289.05,1.65149,1.65687,5,OURBAN,OURBAN,0.02348,0.01863,0.9317,0,1,0.07122,0.04493,0.04065,0.03005,0.48286
010040,GADSDEN REGIONAL MEDICAL CENTER,23460,23460,23460,0,,,0.8144,1,0,1270,. ,0,244,165,0.128,0.007,0.22684,23460,0,0,,N,5076,5037.04,1.64648,1.65679,5045.06,1.64058,1.65039,5,OURBAN,OURBAN,0,0,0.8688,0,1,0.07929,0.04701,0.02951,0.01057,0.59162
010043,CHILTON MEDICAL CENTER,13820,13820,13820,0,,,0.8856,1,0,1100,. ,0,60,6,0.472,0.035,0.14875,13820,0,0,,N,268,253.26,1.07666,1.09033,255.73,1.05243,1.07094,5,LURBAN,LURBAN,0,0,0.9202,0,1,0,0,0,0,0.6761
010044,MARION REGIONAL MEDICAL CENTER,01,01,01,0,,,0.869,1,0,1460,. ,0,36,9,0.342,0.034,0.15879,13820,0,0,,W,545,516.69,1.07193,1.07962,522.33,1.07606,1.08059,5,RURAL,RURAL,0,0,0.9083,0,1,0.03071,0,0.00039,0.00119,0.68416
010045,FAYETTE MEDICAL CENTER,01,01,01,0,,,0.869,1,0,1280,4447.03,0,42,20,0.345,0.033,0.24549,13820,0,14,,W,884,861.04,1.21922,1.23132,864.31,1.17168,1.18352,5,RURAL,RURAL,0,0,0.9083,0,1,0.09468,0,0.01574,0.0207,0.71279
010046,RIVERVIEW REGIONAL MEDICAL CENTER,23460,23460,23460,0,,,0.8144,1,0,1270,. ,0,281,124,0.154,0.014,0.16757,23460,0,0,,N,4884,4841.26,1.51643,1.52672,4855.1,1.49614,1.50439,5,OURBAN,OURBAN,0,0,0.8688,0,1,0.03642,0.03452,0.01917,0.02201,0.7135
010047,GEORGIANA HOSPITAL,01,01,01,0.0127,YES,,0.7694,1,0,1060,2726.03,0,22,13,0.68,0.034,0.28949,01,0,14,,N,981,954.83,0.89823,0.90488,961.66,0.86848,0.87306,5,RURAL,RURAL,0,0,0.8357,0,1,0.13098,0,0,0,0.67578
010049,MEDICAL CENTER ENTERPRISE,01,01,01,0,,,0.7567,1,0,1150,. ,0,131,49,0.192,0.012,0.31927,01,0,0,,N,1794,1755.23,1.1521,1.16047,1765.8,1.12563,1.13248,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.0077,0.00409,0.47911
010050,MEDICAL CENTER BLOUNT,13820,13820,13820,0,,,0.8856,1,0,1040,. ,0,40,20,0.366,0.046,0.20115,13820,0,0,,N,797,770.45,1.03698,1.04175,770.98,1.01801,1.02376,5,LURBAN,LURBAN,0,0,0.9202,0,1,0.05825,0,0.00542,0.01138,0.61788
010051,GREENE COUNTY HOSPITAL,46220,46220,46220,0,,,0.8531,1,0,1310,. ,0,24,3,1.04,0.036,0.55961,46220,0,0,,N,266,263.11,0.8385,0.84005,263.23,0.80728,0.80913,5,OURBAN,OURBAN,0,0,0.8969,0,1,0.12,0,0.00036,0,0.75781
010052,LAKE MARTIN COMMUNITY HOSPITAL,01,01,01,0.0103,YES,,0.767,1,0,1610,. ,0,20,11,0.367,0.025,0.27831,01,0,0,,N,831,794.6,0.86681,0.87714,800.43,0.84757,0.85444,5,RURAL,RURAL,0,0,0.8339,0,1,0.12,0,0,0,0.6274
010054,PARKWAY MEDICAL CENTER HOSPITAL,19460,19460,19460,0,,,0.8725,1,0,1510,. ,0,109,33,0.176,0.016,0.29992,26620,0,0,,W,1409,1382.21,1.07764,1.08269,1389.41,1.06187,1.06624,5,OURBAN,OURBAN,0,0,0.9108,0,1,0.13958,0.06262,0.0019,0.00241,0.51627
010055,FLOWERS HOSPITAL,20020,20020,20020,0,,,0.7567,1,0,1340,. ,0,235,151,0.154,0.014,0.18194,20020,0,0,,N,5713,5655.5,1.59254,1.60656,5669.65,1.55633,1.56669,5,OURBAN,OURBAN,0,0,0.8262,0,1,0.04576,0.03753,0.02088,0.02451,0.58317
010056,ST VINCENTS HOSPITAL,13820,13820,13820,0,,,0.8856,1,0.003,1360,. ,0.0039,325,255,0.359,0.028,0.05837,13820,0,0,,N,6729,6664.6,1.62924,1.63632,6678.89,1.60507,1.61047,5,LURBAN,LURBAN,0.00164,0.0011,0.9202,0,1,0,0.01189,0.05238,0.04182,0.36281
010058,BIBB MEDICAL CENTER,13820,13820,13820,0,,,0.8856,1,0,1030,. ,0,25,4,0.589,0.04,0.23336,13820,0,0,,N,259,251.04,1.01182,1.0183,251.17,1.00826,1.01623,5,LURBAN,LURBAN,0,0,0.9202,0,1,0.08467,0,0,0,0.71657
010059,LAWRENCE MEDICAL CENTER,19460,19460,19460,0,,,0.8725,1,0,1390,. ,0,37,19,0.313,0.023,0.24687,26620,0,0,,W,1132,1100.94,1.02527,1.03208,1102.56,1.00539,1.01317,5,OURBAN,OURBAN,0,0,0.9108,0,1,0.09582,0,0.0019,0.00147,0.66804
010061,JACKSON COUNTY HOSPITAL,01,01,01,0.0542,YES,,0.8109,1,0,1350,1760.3,0,170,46,0.368,0.029,0.31423,01,0,16,,N,2286,2233.91,0.98154,0.9911,2241.15,0.95846,0.96619,5,RURAL,RURAL,0,0,0.8663,0,1,0.12,0,0.00528,0.00508,0.61939
010062,WIREGRASS MEDICAL CENTER,20020,20020,20020,0,,,0.7567,1,0,1300,3595.86,0,83,25,0.475,0.05,0.27818,20020,0,16,,N,1151,1132.95,1.02049,1.02477,1136.36,0.99979,1.00309,5,OURBAN,OURBAN,0,0,0.8262,0,1,0.12,0,0.00623,0.01021,0.66006
010064,PHYSICIANS-CARRAWAY MEDICAL CENTER,13820,13820,13820,0,,,0.8856,1,0.2067,1360,. ,0.4465,186,108,0.237,0.022,0.18133,13820,0,0,,N,3022,2975.16,1.67402,1.69535,2981.04,1.6952,1.71212,5,LURBAN,LURBAN,0.10674,0.13428,0.9202,0,1,0.04536,0.0374,0.03276,0.03776,0.50916
010065,RUSSELL MEDICAL CENTER,01,01,01,0,,,0.869,1,0,1610,. ,0,75,38,0.379,0.032,0.21543,13820,0,7,,W,1576,1521.2,1.49766,1.52819,1526.93,1.48506,1.51263,5,RURAL,RURAL,0,0,0.9083,0,1,0.06988,0,0.01304,0.01357,0.53777
010066,FLORALA MEMORIAL HOSPITAL,01,01,01,0,,,0.7567,1,0,1190,. ,0,22,4,0.514,0.006,0.19948,01,0,0,,N,373,367.56,0.83672,0.83981,369.01,0.84643,0.84743,5,RURAL,RURAL,0,0,0.8262,0,1,0.05716,0,0,0,0.62975
010069,LAKEVIEW COMMUNITY HOSPITAL,01,01,01,0,,,0.7567,1,0,1020,4801.29,0,74,17,0.241,0.016,0.26323,01,0,16,,N,809,785.68,1.01625,1.02292,790.3,0.99252,0.99602,5,RURAL,RURAL,0,0,0.8262,0,1,0.10931,0,0.00995,0.00705,0.68216
010073,CLAY COUNTY HOSPITAL,01,01,01,0,,,0.7567,1,0,1130,. ,0,46,16,0.48,0.027,0.16967,01,0,0,,N,832,810.75,0.97779,0.98506,815.09,0.94452,0.94876,5,RURAL,RURAL,0,0,0.8262,0,1,0.03779,0,0.00173,0.00063,0.68587
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,11500,11500,11500,0.0047,YES,,0.8023,1,0.0547,1070,. ,0.0617,220,182,0.199,0.018,0.25726,11500,0,0,,N,6239,6153.18,1.60058,1.61344,6157.37,1.58336,1.59605,5,OURBAN,OURBAN,0.02943,0.01756,0.8600,0,1,0.10439,0.05348,0.01925,0.02299,0.55834
010079,ATHENS-LIMESTONE HOSPITAL,26620,26620,26620,0,,,0.9018,1,0,1410,. ,0,101,39,0.432,0.052,0.28024,26620,0,0,,N,2216,2156.36,1.22751,1.23875,2168.22,1.20412,1.21352,5,OURBAN,OURBAN,0,0,0.9317,0,1,0.12335,0.05839,0.01475,0.03232,0.61899
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,01,01,01,0,,,0.8123,1,0,1010,. ,0,82,64,0.232,0.023,0.21837,37860,0,7,,W,2882,2844.12,1.19088,1.19466,2855.02,1.17196,1.17384,5,RURAL,RURAL,0,0,0.8673,0,1,0.07231,0,0.0285,0.04221,0.64923
010084,,13820,13820,13820,0,,,0.8856,1,0,1360,. ,0,199,69,0.573,0.143,0.03679,13820,0,0,,N,201,195.7,1.31896,1.33807,197.23,1.32121,1.33816,5,LURBAN,LURBAN,0,0,0.9202,0,1,0,0.00748,0.12845,0.6437,0.53736
010085,DECATUR GENERAL HOSPITAL,19460,19460,19460,0,,,0.8725,1,0,1510,. ,0,178,114,0.29,0.035,0.24993,26620,0,0,,W,4529,4475.48,1.33749,1.34264,4480.48,1.33973,1.34435,5,OURBAN,OURBAN,0,0,0.9108,0,1,0.09834,0.05191,0.01541,0.03006,0.51901
010086,NORTHWEST MEDICAL CENTER,01,01,01,0,,,0.7567,1,0,1460,. ,0,61,25,0.256,0.02,0.30036,01,0,0,,N,1285,1242.42,1.08931,1.1081,1252.45,1.05084,1.06932,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.0039,0.00413,0.59714
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,33660,33660,33660,0,,,0.7948,1,0.6333,1480,. ,1.0949,173,101,0.401,0.014,0.50146,33660,0,0,,N,1173,1152.83,1.96552,1.9817,1153.79,1.99532,2.00617,5,OURBAN,OURBAN,0.29674,0.36204,0.8545,0,1,0.30585,0.10688,0.0768,0.01056,0.23
010089,WALKER BAPTIST MEDICAL CENTER,13820,13820,13820,0,,,0.8856,1,0,1630,. ,0,138,75,0.194,0.021,0.30929,13820,0,0,,N,3101,3017.37,1.29042,1.29615,3026.94,1.2904,1.29601,5,LURBAN,LURBAN,0,0,0.9202,0,1,0.14731,0.06463,0.01261,0.02002,0.51211
010090,PROVIDENCE HOSPITAL,33660,33660,33660,0,,,0.854,1,0,1480,. ,0,349,207,0.303,0.018,0.15167,37700,0,0,,W,5784,5738.22,1.72531,1.7286,5748.42,1.69913,1.70186,5,OURBAN,OURBAN,0,0,0.8976,0,1,0.02609,0.03119,0.03527,0.01492,0.4491
010091,GROVE HILL MEMORIAL HOSPITAL,01,01,01,0.0046,YES,,0.7613,1,0,1120,. ,0,24,11,0.3,0.023,0.45736,01,0,0,,N,557,533.79,0.94754,0.96465,535.9,0.92465,0.94101,5,RURAL,RURAL,0,0,0.8296,0,1,0.12,0,0,0,0.45706
010092,D C H REGIONAL MEDICAL CENTER,46220,46220,46220,0,,,0.8531,1,0.0786,1620,. ,0.1008,429,348,0.235,0.021,0.3019,46220,0,0,,N,12337,12125.46,1.53786,1.54818,12169.69,1.52342,1.53248,5,OURBAN,OURBAN,0.04201,0.02885,0.8969,0,1,0.14122,0.06304,0.01599,0.01915,0.55762
010095,HALE COUNTY HOSPITAL,46220,46220,46220,0,,,0.8531,1,0,1320,. ,0,28,7,0.507,0.037,0.4256,46220,0,0,,N,370,355.9,0.84963,0.85512,357.61,0.84962,0.8549,5,OURBAN,OURBAN,0,0,0.8969,0,1,0.12,0,0,0,0.56923
010097,ELMORE COMMUNITY HOSPITAL,33860,33860,33860,0,,,0.8112,1,0,1250,. ,0,69,16,0.521,0.067,0.39505,33860,0,0,,N,878,848,0.75105,0.74768,868.57,0.77807,0.77823,5,OURBAN,OURBAN,0,0,0.8665,0,1,0.12,0,0,0,0.6749
010099,D W MCMILLAN MEMORIAL HOSPITAL,01,01,01,0,,,0.7567,1,0,1260,. ,0,89,33,0.449,0.035,0.36339,01,0,0,,N,1393,1365.47,0.9742,0.97668,1373.35,0.9475,0.95034,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.00904,0.00879,0.50816
010100,THOMAS HOSPITAL,01,01,01,0,,,0.8123,1,0,1010,. ,0,123,90,0.359,0.056,0.12415,37860,0,7,,W,3806,3769.26,1.68257,1.68697,3777.83,1.65786,1.66231,5,RURAL,RURAL,0,0,0.8673,0,1,0,0,0.049,0.15222,0.58813
010101,BAPTIST CITIZENS,01,01,13820,0,,,0.869,1,0,1600,. ,0,93,33,0.276,0.021,0.48444,13820,0,7,LUGAR,L,1290,1253.27,1.11105,1.12662,1257.8,1.09681,1.10952,5,RURAL,LURBAN,0,0,0.9083,0,1,0.12,0,0.00572,0.00499,0.46194
010102,J PAUL JONES HOSPITAL,01,01,01,0,,,0.7567,1,0,1650,2321.1,0,30,3,1.08,0.132,0.41185,01,0,16,,N,157,147.51,0.92665,0.93733,149.69,0.8854,0.89439,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0,0,0.61762
010103,BAPTIST PRINCETON,13820,13820,13820,0,,,0.8856,1,0.1149,1360,. ,0.1852,309,192,0.16,0.013,0.20225,13820,0,0,,N,5406,5330.31,1.86382,1.87606,5338.35,1.8727,1.88229,5,LURBAN,LURBAN,0.0608,0.05365,0.9202,0,1,0.05901,0.04181,0.04652,0.04174,0.49711
010104,TRINITY MEDICAL CENTER,13820,13820,13820,0,,,0.8856,1,0.0962,1360,. ,0.1626,341,195,0.178,0.01,0.16688,13820,0,0,,N,6201,6136.82,1.86394,1.87201,6144.16,1.83119,1.83697,5,LURBAN,LURBAN,0.05116,0.04695,0.9202,0,1,0.03597,0.03437,0.05794,0.02294,0.50861
010108,PRATTVILLE BAPTIST HOSPITAL,33860,33860,33860,0,,,0.8112,1,0,1000,. ,0,46,21,0.22,0.028,0.17187,33860,0,0,,N,995,963.9,1.09257,1.10017,968.53,1.07346,1.07847,5,OURBAN,OURBAN,0,0,0.8665,0,1,0.03922,0,0.01022,0.02375,0.59982
010109,PICKENS COUNTY MEDICAL CENTER,01,01,01,0.0451,YES,,0.8018,1,0,1530,6730.43,0,39,16,0.496,0.015,0.32248,01,0,16,,N,846,824.71,0.98231,0.99318,830.04,0.981,0.98924,5,RURAL,RURAL,0,0,0.8596,0,1,0.12,0,0.01597,0.00216,0.6968
010110,BULLOCK COUNTY HOSPITAL,01,01,01,0.0215,YES,,0.7782,1,0,1050,2272.14,0,30,21,0.455,0.034,0.49194,01,0,16,,N,659,652.04,0.78056,0.7832,654.45,0.79825,0.79926,5,RURAL,RURAL,0,0,0.8422,0,1,0.12,0,0,0,0.68304
010112,BRYAN W WHITFIELD MEM HOSP INC,01,01,01,0,,,0.7567,1,0,1450,4546.98,0,99,36,0.452,0.032,0.52415,01,0,16,,N,1442,1404.37,0.95841,0.96818,1408.39,0.94186,0.94993,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.00845,0.00688,0.50469
010113,MOBILE INFIRMARY,33660,33660,33660,0,,,0.7948,1,0.0005,1480,. ,0.001,605,330,0.308,0.025,0.23568,33660,0,0,,N,11772,11620.47,1.65263,1.66252,11652.52,1.63263,1.64003,5,OURBAN,OURBAN,0.00027,0.00028,0.8545,0,1,0.08659,0.04888,0.0313,0.02961,0.55949
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",13820,13820,13820,0,,,0.8856,1,0,1360,. ,0,165,111,0.213,0.014,0.21004,13820,0,0,,N,2665,2619.73,1.36241,1.36649,2630.87,1.36001,1.36284,5,LURBAN,LURBAN,0,0,0.9202,0,1,0.06543,0.04345,0.06647,0.039,0.47894
010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,01,01,01,0,,,0.8162,1,0.0725,1230,4182.47,0.1414,163,92,0.274,0.02,0.56292,46220,0,17,,W,3005,2921.62,1.21066,1.22886,2933.3,1.21476,1.23079,5,RURAL,RURAL,0.03882,0.04071,0.8702,0,1,0.35656,0,0.00938,0.00937,0.47599
010120,MONROE COUNTY HOSPITAL,01,01,01,0,,,0.7567,1,0,1490,3889.38,0,94,28,0.367,0.029,0.34764,01,0,16,,N,1194,1148.61,0.95138,0.96254,1159.16,0.93094,0.9386,5,RURAL,RURAL,0,0,0.8262,0,1,0.12,0,0.01431,0.01372,0.49069
010125,LAKELAND COMMUNITY HOSPITAL,01,01,01,0.0476,YES,,0.8043,1,0,1660,2041.9,0,47,20,0.278,0.055,0.30359,01,0,16,,N,1493,1449.41,1.0589,1.06385,1456.1,1.03747,1.0419,5,RURAL,RURAL,0,0,0.8615,0,1,0.12,0,0.00063,0.00257,0.69699
010126,TROY REGIONAL MEDICAL CENTER,01,01,01,0,,,0.8112,1,0,1540,. ,0,97,26,0.203,0.021,0.4149,33860,0,0,,W,917,882.65,1.15732,1.17773,883.59,1.13265,1.15503,5,RURAL,RURAL,0,0,0.8665,0,1,0.12,0,0.01737,0.03167,0.59552
010128,JACKSON MEDICAL CENTER,01,01,01,0.0046,YES,,0.7613,1,0,1120,. ,0,35,10,0.466,0.054,0.47214,01,0,0,,N,584,564.33,0.8708,0.87771,567.99,0.84567,0.85054,5,RURAL,RURAL,0,0,0.8296,0,1,0.12,0,0,0,0.35251
010129,NORTH BALDWIN INFIRMARY,01,01,01,0.0134,YES,,0.7701,1,0,1010,. ,0,55,18,0.545,0.062,0.29898,01,0,0,,N,602,589.23,1.03195,1.03891,591.76,1.03799,1.04437,5,RURAL,RURAL,0,0,0.8362,0,1,0.12,0,0.00955,0.0209,0.41756
010130,ST CLAIR REGIONAL HOSPITAL,13820,13820,13820,0,,,0.8856,1,0,1570,. ,0,82,18,0.433,0.02,0.19006,13820,0,0,,N,555,540.65,1.02657,1.0343,543.39,1.01073,1.01873,5,LURBAN,LURBAN,0,0,0.9202,0,1,0.05104,0,0.06168,0.02231,0.54847
010131,CRESTWOOD MEDICAL CENTER,26620,26620,26620,0,,,0.9018,1,0,1440,. ,0,124,94,0.134,0.016,0.09575,26620,0,0,,N,3670,3637.76,1.40139,1.40719,3641,1.4164,1.42173,5,OURBAN,OURBAN,0,0,0.9317,0,1,0,0.01958,0.03663,0.06456,0.49554
