Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),SSA COUNTY CODE,REGION,URGEO,URSPA,RECLASS,Post Reclass Labor Market Area,Post Reclass Wage Index,Puerto Rico Specific Post Reclass wage index,LUGAR,Section 401 hospital,Section 505 eligible,Section 505 wage adjustment,Cost of Living Adjustment,Resident to Bed Ratio,RDAY,BEDS,Average Daily Census,TCHOP,TCHCP,DSHPCT,DSHOPG,DSHCPG,Operating CCR,Capital CCR,Provider Type,HSP Rate,BILLS,CASETA25,TACMIV25,CMIV25,CASETA26,TACMIV26,CMIV26,Post Reclass GAF,Puerto Rico Specific Post Reclass GAF,Cost of Living Adjustment-Capital,OUT09F,COUT09F,MCR_PCT
010043,CHILTON MEDICAL CENTER,13820,13820,13820,1100,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,60,4,0,0,0.22872,0.08084,0,0.465,0.03,0,.,266,247.6,1.065,1.07379,248.04,1.04374,1.05491,0.9129,0.0000,1,0,0,0.6208
010044,MARION REGIONAL MEDICAL CENTER,1,1,1,1460,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,36,9,0,0,0.15026,0.02517,0,0.363,0.037,0,.,556,536.91,1.06061,1.06696,537.52,1.03629,1.04309,0.8300,0.0000,1,0.0101,0.0172,0.6425
010045,FAYETTE MEDICAL CENTER,1,1,1,1280,5,RURAL,RURAL,N,1,0.784,0,,,0.0222,YES,1,0,0,42,18,0,0,0.23703,0.0877,0,0.353,0.034,14,4601.57,964,943.91,1.12018,1.12418,944.33,1.09624,1.10145,0.8465,0.0000,1,0.0074,0.0161,0.6483
010046,RIVERVIEW REGIONAL MEDICAL CENTER,23460,23460,23460,1270,5,OURBAN,OURBAN,N,23460,0.8022,0,,,0.0061,YES,1,0,0,281,114,0,0,0.17743,0.04283,0.03658,0.152,0.014,0,.,4481,4446.82,1.51518,1.52416,4448.11,1.50149,1.51077,0.8599,0.0000,1,0.02,0.028,0.7414
010047,GEORGIANA HOSPITAL,1,1,1,1060,5,RURAL,RURAL,N,1,0.7745,0,,,0.0127,YES,1,0,0,22,15,0,0,0.27462,0.11871,0,0.58,0.034,14,2820.77,935,923.03,0.84156,0.84602,923.4,0.79535,0.80061,0.8395,0.0000,1,0,0,0.7019
010049,MEDICAL CENTER ENTERPRISE,1,1,1,1150,5,RURAL,RURAL,N,1,0.7644,0,,,0.0026,YES,1,0,0,131,43,0,0,0.29092,0.12,0,0.179,0.01,0,.,1765,1739.58,1.10895,1.11375,1740.18,1.08737,1.09272,0.8320,0.0000,1,0.0082,0.0043,0.4927
010050,ST VINCENTS BLOUNT,13820,13820,13820,1040,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,40,19,0,0,0.23704,0.08771,0,0.358,0.047,0,.,807,783.66,1.04813,1.05867,784.41,1.02289,1.03481,0.9129,0.0000,1,0.0045,0.0116,0.5826
010051,GREENE COUNTY HOSPITAL,46220,46220,46220,1310,5,OURBAN,OURBAN,N,46220,0.8731,0,,,.,,1,0,0,24,4,0,0,0.47648,0.12,0,0.975,0.034,0,.,287,285.2,0.87073,0.87147,285.26,0.84211,0.84282,0.9113,0.0000,1,0,0,0.7097
010052,LAKE MARTIN COMMUNITY HOSPITAL,1,1,1,1610,5,RURAL,RURAL,W,33860,0.8302,0,,,.,,1,0,0,28,11,0,0,0.29834,0.12,0,0.383,0.028,0,.,801,773.34,0.85425,0.86262,773.97,0.82361,0.83282,0.8804,0.0000,1,0,0,0.6809
010054,PARKWAY MEDICAL CENTER,19460,19460,19460,1510,5,OURBAN,OURBAN,W,26620,0.8679,0,,,.,,1,0,0,109,33,0,0,0.31637,0.15316,0.06616,0.161,0.013,0,.,1525,1499.89,1.12142,1.1234,1500.78,1.10565,1.10872,0.9075,0.0000,1,0.001,0.0014,0.5269
010055,FLOWERS HOSPITAL,20020,20020,20020,1340,5,OURBAN,OURBAN,W,37460,0.829,0,,,.,,1,0,0,235,147,0,0,0.1867,0.04885,0.03853,0.154,0.014,0,.,5465,5421.42,1.52981,1.53706,5422.92,1.50483,1.51216,0.8795,0.0000,1,0.0205,0.0268,0.5459
010056,ST VINCENTS HOSPITAL,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.0031,0.0039,344,310,0.00169,0.00055,0.07001,0,0.01428,0.346,0.037,0,.,6608,6554.93,1.5559,1.56231,6556.41,1.53902,1.54639,0.9129,0.0000,1,0.0465,0.0744,0.3971
010058,BIBB MEDICAL CENTER,13820,13820,13820,1030,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,25,4,0,0,0.19921,0.05699,0,0.575,0.041,0,.,182,175.63,1.04391,1.0491,175.85,1.05457,1.06089,0.9129,0.0000,1,0.0029,0.0021,0.71
010059,LAWRENCE MEDICAL CENTER,19460,19460,19460,1390,5,OURBAN,OURBAN,W,26620,0.8679,0,,,.,,1,0,0,37,21,0,0,0.27869,0.12,0,0.352,0.03,0,.,1150,1129.99,0.97476,0.97753,1130.75,0.94592,0.94928,0.9075,0.0000,1,0.0105,0.0119,0.6794
010061,HIGHLANDS MEDICAL CENTER,1,1,1,1350,5,RURAL,RURAL,W,16860,0.8716,0,,,.,,1,0,0,170,45,0,0,0.34091,0.12,0,0.389,0.027,16,1821.47,2672,2617.14,0.9457,0.95707,2618.28,0.91932,0.93093,0.9102,0.0000,1,0.0018,0.0015,0.6336
010062,WIREGRASS MEDICAL CENTER,20020,20020,20020,1300,5,OURBAN,OURBAN,N,20020,0.7743,0,,,.,,1,0,0,83,25,0,0,0.25023,0.09859,0,0.495,0.05,16,3720.82,1116,1102.02,1.01092,1.0156,1102.43,0.99305,0.99857,0.8393,0.0000,1,0.002,0.0041,0.6194
010064,PHYSICIANS MEDICAL CENTER CARRAWAY,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.2526,0.4882,178,101,0.12893,0.07386,0.19401,0.05361,0.04007,0.315,0.016,0,.,2961,2918.31,1.72842,1.74544,2919.81,1.734,1.75085,0.9129,0.0000,1,0.0914,0.0298,0.4707
010065,RUSSELL MEDICAL CENTER,1,1,1,1610,5,RURAL,RURAL,W,13820,0.8632,0,,,.,,1,0,0,75,37,0,0,0.29654,0.1368,0,0.38,0.049,7,.,1491,1452.38,1.46927,1.48655,1453.53,1.46641,1.48361,0.9042,0.0000,1,0.0243,0.0665,0.5106
010066,FLORALA MEMORIAL HOSPITAL,1,1,1,1190,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,22,4,0,0,0.16058,0.03188,0,0.449,0.008,0,.,413,404.35,0.87154,0.87368,404.43,0.82448,0.82693,0.8300,0.0000,1,0,0,0.7808
010069,LAKEVIEW COMMUNITY HOSPITAL,1,1,1,1020,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,74,12,0,0,0.23398,0.08518,0,0.24,0.016,16,4777.9,679,660.97,0.95943,0.96481,661.63,0.94597,0.95228,0.8300,0.0000,1,0,0,0.7088
010073,CLAY COUNTY HOSPITAL,1,1,1,1130,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,46,14,0,0,0.21588,0.07025,0,0.515,0.028,0,.,1018,991.36,0.90661,0.91261,992.03,0.87641,0.88334,0.8300,0.0000,1,0.005,0.0026,0.7201
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,11500,11500,11500,1070,5,OURBAN,OURBAN,N,11500,0.8025,0,,,0.0047,YES,1,0.0182,0.0224,238,178,0.0099,0.00317,0.2687,0.11383,0.05592,0.201,0.017,0,.,6206,6138.17,1.60266,1.61569,6139.64,1.60983,1.62366,0.8601,0.0000,1,0.0121,0.0153,0.5463
010079,ATHENS-LIMESTONE HOSPITAL,26620,26620,26620,1410,5,OURBAN,OURBAN,N,26620,0.8953,0,,,.,,1,0,0,101,41,0,0,0.30237,0.14161,0.06314,0.429,0.048,0,.,2036,1976.09,1.20569,1.21807,1977.31,1.1899,1.20412,0.9271,0.0000,1,0.0317,0.0627,0.5864
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1,1,1,1010,5,RURAL,RURAL,W,37860,0.8084,0,,,.,,1,0,0,82,67,0,0,0.20017,0.05761,0,0.221,0.02,7,.,2836,2804.21,1.15578,1.15918,2805.64,1.11907,1.12226,0.8645,0.0000,1,0.0276,0.0412,0.6087
010085,DECATUR GENERAL HOSPITAL,19460,19460,19460,1510,5,OURBAN,OURBAN,W,26620,0.8679,0,,,.,,1,0,0,178,116,0,0,0.24167,0.09153,0.05016,0.286,0.032,0,.,4348,4307.94,1.31056,1.315,4309.77,1.31096,1.31649,0.9075,0.0000,1,0.0134,0.0273,0.5625
010086,NORTHWEST MEDICAL CENTER,1,1,1,1460,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,56,26,0,0,0.31411,0.12,0,0.226,0.023,0,.,1200,1172.92,0.98546,0.99203,1173.54,0.9588,0.96667,0.8300,0.0000,1,0.003,0.0058,0.6044
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,33660,33660,33660,1480,5,OURBAN,OURBAN,N,33660,0.7828,0,,,.,,1,0.6207,1.0163,129,107,0.29158,0.16608,0.45765,0.26971,0.0971,0.429,0.011,0,.,1191,1171.02,2.26704,2.28462,1171.51,2.30355,2.31935,0.8456,0.0000,1,0.0662,0.0036,0.2072
010089,WALKER BAPTIST MEDICAL CENTER,13820,13820,13820,1630,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,172,69,0,0,0.28303,0.12565,0.05899,0.193,0.028,0,.,2980,2895.37,1.28311,1.29088,2898.17,1.29297,1.30293,0.9129,0.0000,1,0.0037,0.016,0.5015
010090,PROVIDENCE HOSPITAL,33660,33660,33660,1480,5,OURBAN,OURBAN,W,37700,0.8,0,,,.,,1,0,0,349,197,0,0,0.1888,0.05022,0.03897,0.296,0.02,0,.,5494,5453.65,1.69474,1.70083,5454.97,1.68749,1.69409,0.8583,0.0000,1,0.0316,0.021,0.4387
010091,GROVE HILL MEMORIAL HOSPITAL,1,1,1,1120,5,RURAL,RURAL,N,1,0.7664,0,,,0.0046,YES,1,0,0,24,9,0,0,0.42675,0.12,0,0.324,0.025,0,.,440,424.3,0.88139,0.89156,424.5,0.85186,0.86333,0.8334,0.0000,1,0,0,0.4634
010092,D C H REGIONAL MEDICAL CENTER,46220,46220,46220,1620,5,OURBAN,OURBAN,N,46220,0.8731,0,,,.,,1,0.0785,0.1,433,335,0.04196,0.01431,0.2933,0.13412,0.06119,0.234,0.019,0,.,12573,12433,1.47378,1.48073,12436.65,1.46953,1.47717,0.9113,0.0000,1,0.0242,0.0271,0.5503
010095,HALE COUNTY HOSPITAL,46220,46220,46220,1320,5,OURBAN,OURBAN,N,46220,0.8731,0,,,.,,1,0,0,28,5,0,0,0.37885,0.12,0,0.615,0.09,0,.,339,321.02,0.83898,0.84967,321.51,0.81217,0.82638,0.9113,0.0000,1,0,0,0.6203
010097,ELMORE COMMUNITY HOSPITAL,33860,33860,33860,1250,5,OURBAN,OURBAN,N,33860,0.8302,0,,,.,,1,0,0,69,15,0,0,0.33148,0.12,0,0.571,0.065,0,.,953,934.31,0.78064,0.78189,934.78,0.82268,0.82449,0.8804,0.0000,1,0,0,0.6311
010099,D W MCMILLAN MEMORIAL HOSPITAL,1,1,1,1260,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,89,32,0,0,0.31723,0.12,0,0.422,0.034,0,.,1359,1336.33,0.96411,0.96742,1336.89,0.92415,0.92766,0.8300,0.0000,1,0.0042,0.005,0.4874
010100,THOMAS HOSPITAL,1,1,1,1010,5,RURAL,RURAL,W,37860,0.8084,0,,,.,,1,0,0,131,93,0,0,0.11429,0,0,0.308,0.03,7,.,3524,3494.33,1.69014,1.69764,3495.52,1.66766,1.67563,0.8645,0.0000,1,0.0401,0.064,0.5613
010101,CITIZENS BAPTIST MEDICAL CENTER,1,1,11500,1600,5,RURAL,OURBAN,L,13820,0.8632,0,LUGAR,,.,,1,0,0,106,33,0,0,0.5022,0.30647,0.10705,0.252,0.024,7,.,1159,1131.56,1.1552,1.17049,1132.64,1.14623,1.16263,0.9042,0.0000,1,0.0047,0.0091,0.4204
010102,J PAUL JONES HOSPITAL,1,1,1,1650,5,RURAL,RURAL,W,33860,0.8302,0,,,.,,1,0,0,30,2,0,0,0.38455,0.12,0,0.935,0.024,16,2401.77,160,155.23,0.9053,0.9113,155.33,0.8714,0.87834,0.8804,0.0000,1,0,0,0.6083
010103,PRINCETON BAPTIST MEDICAL CENTER,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.1171,0.1929,277,181,0.06192,0.02797,0.21499,0.06952,0.0445,0.162,0.013,0,.,5496,5422.62,1.87137,1.87934,5424.71,1.88542,1.89501,0.9129,0.0000,1,0.0413,0.0434,0.4559
010104,TRINITY MEDICAL CENTER,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.102,0.1773,303,184,0.05416,0.02565,0.20353,0.06006,0.04208,0.167,0.01,0,.,5672,5620.96,1.8195,1.82796,5622.8,1.80323,1.81235,0.9129,0.0000,1,0.0465,0.0237,0.4857
010108,PRATTVILLE BAPTIST HOSPITAL,33860,33860,33860,1000,5,OURBAN,OURBAN,N,33860,0.8302,0,,,.,,1,0,0,50,20,0,0,0.17679,0.04241,0,0.194,0.017,0,.,1001,978.52,1.04768,1.05605,979.53,1.03571,1.04438,0.8804,0.0000,1,0.0066,0.0094,0.5917
010109,PICKENS COUNTY MEDICAL CENTER,1,1,1,1530,5,RURAL,RURAL,N,1,0.8023,0,,,0.0405,YES,1,0,0,40,16,0,0,0.29743,0.12,0,0.439,0.019,16,6964.33,855,835.53,0.9429,0.9463,835.8,0.91001,0.9139,0.8600,0.0000,1,0.0163,0.0036,0.6831
010110,BULLOCK COUNTY HOSPITAL,1,1,1,1050,5,RURAL,RURAL,N,1,0.7833,0,,,0.0215,YES,1,0,0,30,13,0,0,0.46179,0.12,0,0.425,0.049,16,2351.1,584,578.02,0.77387,0.7773,578.06,0.77866,0.78221,0.8460,0.0000,1,0,0,0.5858
010112,BRYAN W WHITFIELD MEM HOSP INC,1,1,1,1450,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,99,36,0,0,0.53372,0.12,0,0.532,0.047,16,4704.99,1468,1440.9,0.95287,0.95813,1441.61,0.92688,0.93276,0.8300,0.0000,1,0.0068,0.0094,0.4651
010113,MOBILE INFIRMARY,33660,33660,33660,1480,5,OURBAN,OURBAN,N,33660,0.7828,0,,,.,,1,0.0011,0.0087,605,350,0.0006,0.00123,0.24043,0.0905,0.04989,0.293,0.019,0,.,11576,11468.78,1.60262,1.61398,11471.61,1.5819,1.59362,0.8456,0.0000,1,0.0272,0.017,0.5596
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,172,121,0,0,0.22634,0.07888,0.0469,0.218,0.015,0,.,2829,2796.79,1.40838,1.4119,2798.13,1.41565,1.42032,0.9129,0.0000,1,0.0394,0.0289,0.4365
010118,VAUGHAN REG MED CENTER PARKWAY CAMPUS,1,1,1,1230,5,RURAL,RURAL,W,33860,0.8302,0,,,.,,1,0.0778,0.1429,149,81,0.04159,0.02058,0.56742,0.36027,0,0.274,0.02,17,4565.87,3056,2984.24,1.20173,1.21989,2986.77,1.2039,1.22379,0.8804,0.0000,1,0.0103,0.0124,0.5065
010120,MONROE COUNTY HOSPITAL,1,1,1,1490,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,94,25,0,0,0.26115,0.1076,0,0.361,0.03,16,4024.55,1231,1193.68,0.98857,0.99592,1194.5,0.95133,0.96021,0.8300,0.0000,1,0,0,0.5659
010125,LAKELAND COMMUNITY HOSPITAL,1,1,1,1660,5,RURAL,RURAL,N,1,0.8094,0,,,0.0476,YES,1,0,0,47,22,0,0,0.26892,0.11401,0,0.269,0.041,16,2112.86,1391,1360.66,1.02261,1.02923,1361.94,1.00677,1.01538,0.8652,0.0000,1,0.0004,0.0024,0.7004
010126,TROY REGIONAL MEDICAL CENTER,1,1,1,1540,5,RURAL,RURAL,W,33860,0.8302,0,,,.,,1,0,0,97,20,0,0,0.44182,0.12,0,0.205,0.028,0,.,744,715.29,1.10259,1.12948,716.1,1.0732,1.10143,0.8804,0.0000,1,0,0.0013,0.5441
010128,JACKSON MEDICAL CENTER,1,1,1,1120,5,RURAL,RURAL,N,1,0.7664,0,,,0.0046,YES,1,0,0,35,13,0,0,0.4735,0.12,0,0.335,0.039,0,.,586,565.9,0.86816,0.87843,566.2,0.82739,0.83892,0.8334,0.0000,1,0,0,0.4403
010129,NORTH BALDWIN INFIRMARY,1,1,1,1010,5,RURAL,RURAL,N,1,0.7752,0,,,0.0134,YES,1,0,0,55,17,0,0,0.39282,0.12,0,0.462,0.092,0,.,624,613.32,1.03694,1.04167,613.81,1.00342,1.00962,0.8400,0.0000,1,0.0083,0.0472,0.4374
010130,ST VINCENT'S ST CLAIR,13820,13820,13820,1570,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,82,15,0,0,0.2168,0.07101,0,0.452,0.018,0,.,574,563.07,0.97549,0.97918,563.38,0.93257,0.93656,0.9129,0.0000,1,0.0549,0.0185,0.5688
010131,CRESTWOOD MEDICAL CENTER,26620,26620,26620,1440,5,OURBAN,OURBAN,N,26620,0.8953,0,,,.,,1,0,0,120,111,0,0,0.08028,0,0.01639,0.136,0.016,0,.,4054,4027.42,1.37696,1.38178,4028.84,1.36665,1.37178,0.9271,0.0000,1,0.0334,0.0609,0.4917
