Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),SSA COUNTY CODE,REGION,URGEO,URSPA,RECLASS,Post Reclass Labor Market Area,Post Reclass Wage Index,Puerto Rico Specific Post Reclass wage index,LUGAR,Section 401 hospital,Section 505 eligible,Section 505 wage adjustment,Cost of Living Adjustment,Resident to Bed Ratio,RDAY,BEDS,Average Daily Census,TCHOP,TCHCP,DSHPCT,DSHOPG,DSHCPG,Operating CCR,Capital CCR,Provider Type,FY10 HSP Rate,FY09 HSP Rate,BILLSV27,TACMIV27,CASETA27,CMIV27,IME_CASETA27,IME_TACMIV27,TACMIV26,CASETA26,CMIV26,IME_CASETA26,IME_TACMIV26,Post Reclass GAF,Puerto Rico Specific Post Reclass GAF,Cost of Living Adjustment-Capital,OUT10F,COUT10F,MCR_PCT,,,,,,,,,,,,,,,,,,,,,,,,,
010016,SHELBY BAPTIST MEDICAL CENTER,13820,13820,13820,01580,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0,0,191,125,0,0,0.22467,0.07750275,0.046546478,0.19,0.019,0,,,3405,1.591593412,3366.35535,1.604578326,753.4652,1.591542317,1.592218883,3361.7257,1.606431013,752.8052,1.59338923,0.8955,0.0000,1,0.036629376,0.060350832,0.426506314,,,,,,,,,,,,,,,,,,,,,,,,,
010018,CALLAHAN EYE FOUNDATION HOSPITAL,13820,13820,13820,01360,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0.402,1.5,20,2,0.197984879,0.526992325,0.08924,0,0,0.83,0.098,0,,,79,1.272679964,78.0837,1.269975949,,,1.230455274,77.9592,1.228050633,,,0.8955,0.0000,1,0,0,0.37245509,,,,,,,,,,,,,,,,,,,,,,,,,
010019,HELEN KELLER MEMORIAL HOSPITAL,22520,22520,22520,01160,5,OURBAN,OURBAN,N,22520,0.7932,0,,,,,1,0,0,185,72,0,0,0.29709,0.13724925,0.062007224,0.374,0.035,0,,,3488,1.249213006,3450.37695,1.25534504,,,1.249094873,3445.07295,1.255304186,,,0.8533,0.0000,1,0.00745364,0.011636191,0.54577437,,,,,,,,,,,,,,,,,,,,,,,,,
010021,DALE MEDICAL CENTER,   01,   01,   01,01220,5,RURAL,RURAL,N,   01,0.7441,0,,,YES,0.0052,1,0,0,77,23,0,0,0.29551,0.12,0,0.379,0.024,0,,,1033,1.343221996,988.45455,1.374261859,,,1.345091317,984.80375,1.375784995,,,0.8168,0.0000,1,0.005398065,0.003715068,0.513862201,,,,,,,,,,,,,,,,,,,,,,,,,
010022,CHEROKEE MEDICAL CENTER,   01,   01,40660,01090,5,RURAL,OURBAN,L,12060,0.9581,0,LUGAR,,,,1,0,0,45,10,0,0,0.23366,0.0849195,0,0.285,0.025,14,4159.640088,4165.189003,710,0.953384118,695.66775,0.961788451,,,0.96244745,694.132,0.971546761,,,0.9711,0.0000,1,0,0,0.679122469,,,,,,,,,,,,,,,,,,,,,,,,,
010023,BAPTIST MEDICAL CENTER SOUTH,33860,33860,33860,01500,5,OURBAN,OURBAN,N,33860,0.8459,0,,,,,1,0.0934,0.146,355,242,0.049713952,0.042061747,0.43753,0.25311225,0.09264332,0.214,0.014,0,,,5484,1.764545577,5398.56355,1.787780762,,,1.761855709,5390.3846,1.786618472,,,0.8917,0.0000,1,0.024604261,0.018764332,0.321912749,,,,,,,,,,,,,,,,,,,,,,,,,
010024,JACKSON HOSPITAL & CLINIC INC,33860,33860,33860,01500,5,OURBAN,OURBAN,N,33860,0.8459,0,,,,,1,0,0,255,172,0,0,0.28045,0.12352125,0.058434707,0.228,0.032,0,,,5165,1.627117289,5097.80855,1.662269371,749.65475,1.566639077,1.623615363,5090.7844,1.660703698,748.84195,1.56504115,0.8917,0.0000,1,0.003588116,0.01454904,0.458503556,,,,,,,,,,,,,,,,,,,,,,,,,
010025,G H LANIER MEMORIAL HOSPITAL,   01,   01,   01,01080,5,RURAL,RURAL,W,17980,0.8454,0,,,,,1,0,0,101,41,0,0,0.29913,0.13893225,0,0.482,0.029,7,,,1471,1.313317334,1450.39555,1.319964854,1.9756,0.922172909,1.317554366,1448.37125,1.324456288,1.9302,0.914006424,0.8914,0.0000,1,0.016047094,0.008876665,0.58671062,,,,,,,,,,,,,,,,,,,,,,,,,
010027,ELBA GENERAL HOSPITAL,   01,   01,   01,01150,5,RURAL,RURAL,N,   01,0.7415,0,,,YES,0.0026,1,0,0,20,6,0,0,0.38026,0.12,0,0.53,0.051,0,,,520,0.719531724,511.9128,0.721879423,,,0.713684328,511.086,0.716256154,,,0.8148,0.0000,1,0,0,0.555385205,,,,,,,,,,,,,,,,,,,,,,,,,
010029,EAST ALABAMA MEDICAL CENTER AND SNF,12220,12220,12220,01400,5,OURBAN,OURBAN,W,17980,0.8454,0,,,,,1,0,0,260,189,0,0,0.27514,0.1191405,0.05729721,0.406,0.053,7,,,6321,1.594671112,6281.9814,1.599018431,3,1.104333333,1.591554496,6277.01405,1.596220092,3,1.119,0.8914,0.0000,1,0.020800955,0.052905738,0.530051949,,,,,,,,,,,,,,,,,,,,,,,,,
010032,WEDOWEE HOSPITAL,   01,   01,   01,01550,5,RURAL,RURAL,N,   01,0.7714,0,,,YES,0.0325,1,0,0,34,10,0,0,0.22429,0.07718925,0,0.431,0.016,0,,,549,0.815957972,535.8338,0.821881421,,,0.817903351,534.3169,0.824242441,,,0.8372,0.0000,1,0.002296871,0,0.658613861,,,,,,,,,,,,,,,,,,,,,,,,,
010033,UNIVERSITY OF ALABAMA HOSPITAL,13820,13820,13820,01360,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0.2895,0.4511,967,663,0.146423135,0.135758171,0.37687,0.20306775,0.079303769,0.254,0.024,0,,,10030,2.232447146,9886.31345,2.247802802,,,2.236961279,9873.4847,2.253253928,,,0.8955,0.0000,1,0.161192982,0.223309298,0.267074431,,,,,,,,,,,,,,,,,,,,,,,,,
010034,COMMUNITY HOSPITAL INC,33860,33860,33860,01250,5,OURBAN,OURBAN,N,33860,0.8459,0,,,,,1,0,0,59,21,0,0,0.25333,0.10114725,0,0.479,0.043,0,,,894,1.131236153,871.4714,1.155349553,188.6459,1.080832176,1.131452436,869.9803,1.154544407,188.3176,1.084082539,0.8917,0.0000,1,0.000930977,0.001885275,0.596692934,,,,,,,,,,,,,,,,,,,,,,,,,
010035,CULLMAN REGIONAL MEDICAL CENTER,   01,   01,   01,01210,5,RURAL,RURAL,W,13820,0.8512,0,,,,,1,0,0,115,76,0,0,0.25048,0.098796,0,0.285,0.044,7,,,3478,1.293041665,3418.57845,1.301028378,1,0.571,1.292749389,3412.13455,1.301253105,1,0.5843,0.8955,0.0000,1,0.023692172,0.070943733,0.55578635,,,,,,,,,,,,,,,,,,,,,,,,,
010036,ANDALUSIA REGIONAL HOSPITAL,   01,   01,   01,01190,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,88,37,0,0,0.3352,0.16869,0,0.229,0.021,14,1979.358685,1981.999128,1871,1.115200097,1844.5236,1.119641475,52.8023,1.153663109,1.111805621,1841.16525,1.116428274,52.7038,1.17053617,0.8128,0.0000,1,0.000888639,0.002007106,0.602180023,,,,,,,,,,,,,,,,,,,,,,,,,
010038,STRINGFELLOW MEMORIAL HOSPITAL,11500,11500,11500,01070,5,OURBAN,OURBAN,N,11500,0.765,0,,,YES,0.0047,1,0,0,125,52,0,0,0.20188,0.058722,0.04172782,0.172,0.013,0,,,2309,1.358277534,2272.7664,1.373314422,,,1.360970529,2268.83305,1.37757592,,,0.8324,0.0000,1,0.008430915,0.008066452,0.588949091,,,,,,,,,,,,,,,,,,,,,,,,,
010039,HUNTSVILLE HOSPITAL,26620,26620,26620,01440,5,OURBAN,OURBAN,N,26620,0.8924,0,,,,,1,0.0397,0.0565,794,585,0.021454887,0.016072089,0.23162,0.0832365,0.048020399,0.213,0.018,0,,,16441,1.727669175,16296.26085,1.739442059,,,1.724424265,16281.6968,1.736725522,,,0.9250,0.0000,1,0.048608195,0.056286509,0.419895165,,,,,,,,,,,,,,,,,,,,,,,,,
010040,GADSDEN REGIONAL MEDICAL CENTER,23460,23460,23460,01270,5,OURBAN,OURBAN,N,23460,0.8411,0,,,YES,0.0061,1,0,0,233,159,0,0,0.23698,0.0876585,0.049158537,0.12,0.007,0,,,4859,1.6238896,4822.4082,1.636336386,191.57805,1.726425335,1.623298216,4817.9734,1.636799341,191.46975,1.713714751,0.8883,0.0000,1,0.027797519,0.014007755,0.550794769,,,,,,,,,,,,,,,,,,,,,,,,,
010043,CHILTON MEDICAL CENTER,13820,13820,13820,01100,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0,0,27,5,0,0,0.24062,0.0906615,0,0.434,0.032,0,,,290,1.223828714,276.7307,1.232486897,,,1.223803225,275.8005,1.232352414,,,0.8955,0.0000,1,0,0,0.55495251,,,,,,,,,,,,,,,,,,,,,,,,,
010044,MARION REGIONAL MEDICAL CENTER,   01,   01,   01,01460,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,36,8,0,0,0.16933,0.0375645,0,0.383,0.035,0,,,492,1.050346219,476.5861,1.063617683,3.4,0.926694118,1.057651688,474.9693,1.071402846,3.4,0.935158824,0.8128,0.0000,1,0.011735654,0.019633722,0.537020778,,,,,,,,,,,,,,,,,,,,,,,,,
010045,FAYETTE MEDICAL CENTER,   01,   01,   01,01280,5,RURAL,RURAL,N,   01,0.7611,0,,,YES,0.0222,1,0,0,42,19,0,0,0.22131,0.07473075,0,0.353,0.034,14,4595.441225,4601.571493,950,1.021378004,926.6122,1.025397579,1,1.1155,1.026015187,924.4541,1.030354316,1,1.1209,0.8295,0.0000,1,0.027772446,0.041555574,0.682367334,,,,,,,,,,,,,,,,,,,,,,,,,
010046,RIVERVIEW REGIONAL MEDICAL CENTER,23460,23460,23460,01270,5,OURBAN,OURBAN,N,23460,0.8411,0,,,YES,0.0061,1,0,0,283,116,0,0,0.18606,0.048439,0.038395933,0.143,0.012,0,,,4562,1.54120577,4533.95965,1.549228606,,,1.543014821,4530.68385,1.551352411,,,0.8883,0.0000,1,0.02443794,0.028171717,0.686385737,,,,,,,,,,,,,,,,,,,,,,,,,
010047,GEORGIANA HOSPITAL,   01,   01,   01,01060,5,RURAL,RURAL,N,   01,0.7516,0,,,YES,0.0127,1,0,0,22,17,0,0,0.26833,0.11352225,0,0.502,0.033,14,2817.009925,2820.767785,940,0.840285625,925.4982,0.844372021,3.8571,0.935664795,0.841057972,923.526,0.845828191,3.8571,0.929524127,0.8224,0.0000,1,0,0,0.584650113,,,,,,,,,,,,,,,,,,,,,,,,,
010049,MEDICAL CENTER ENTERPRISE,   01,   01,   01,01150,5,RURAL,RURAL,N,   01,0.7415,0,,,YES,0.0026,1,0,0,131,41,0,0,0.29931,0.12,0,0.17,0.013,0,,,1795,1.115461954,1766.0486,1.131029694,,,1.112782907,1762.9536,1.128918997,,,0.8148,0.0000,1,0.001764468,0.0020177,0.52247441,,,,,,,,,,,,,,,,,,,,,,,,,
010050,ST VINCENTS BLOUNT,13820,13820,13820,01040,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0,0,40,18,0,0,0.20497,0.06125025,0,0.428,0.029,0,,,734,1.062739965,713.7558,1.072283924,,,1.067732101,711.7641,1.077770845,,,0.8955,0.0000,1,0.011207948,0.007807488,0.549687182,,,,,,,,,,,,,,,,,,,,,,,,,
010051,GREENE COUNTY HOSPITAL,46220,46220,46220,01310,5,OURBAN,OURBAN,N,46220,0.8942,0,,,,,1,0,0,24,4,0,0,0.43858,0.12,0,0.818,0.021,0,,,295,0.852266528,292.1784,0.854180678,,,0.860978223,291.6069,0.863022712,,,0.9263,0.0000,1,0,0,0.641562064,,,,,,,,,,,,,,,,,,,,,,,,,
010052,LAKE MARTIN COMMUNITY HOSPITAL,   01,   01,   01,01610,5,RURAL,RURAL,W,33860,0.8459,0,,,,,1,0,0,46,12,0,0,0.27005,0.11494125,0,0.329,0.026,14,3441.984771,3446.576341,690,0.878549357,663.6037,0.885229855,0.7692,0.974,0.881128661,661.1937,0.888864493,0.7317,1.0069,0.8917,0.0000,1,0,0,0.643129286,,,,,,,,,,,,,,,,,,,,,,,,,
010054,PARKWAY MEDICAL CENTER,19460,19460,19460,01510,5,OURBAN,OURBAN,W,26620,0.8558,0,,,,,1,0,0,109,37,0,0,0.31523,0.15221475,0.065915522,0.161,0.013,0,,,1594,1.084835218,1573.33005,1.093231681,,,1.087982841,1570.812,1.096681681,,,0.8989,0.0000,1,0.008722596,0.009771144,0.482891003,,,,,,,,,,,,,,,,,,,,,,,,,
010055,FLOWERS HOSPITAL,20020,20020,20020,01340,5,OURBAN,OURBAN,W,37460,0.832,0,,,,,1,0,0,235,139,0,0,0.1865,0.048725,0.038488458,0.153,0.012,0,,,5531,1.581715571,5478.0816,1.593229127,75.39865,1.77712023,1.57981814,5472.2096,1.591993184,75.2308,1.777060277,0.8817,0.0000,1,0.018301658,0.018120507,0.544634219,,,,,,,,,,,,,,,,,,,,,,,,,
010056,ST VINCENTS HOSPITAL,13820,13820,13820,01360,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0.0032,0.0032,414,280,0.001747937,0.000903448,0.07459,0,0.015219124,0.343,0.034,0,,,6825,1.556951794,6774.52145,1.566663678,,,1.550263985,6768.4662,1.560230198,,,0.8955,0.0000,1,0.047840886,0.067767647,0.375053584,,,,,,,,,,,,,,,,,,,,,,,,,
010058,BIBB MEDICAL CENTER,13820,13820,13820,01030,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0,0,25,4,0,0,0.24651,0.09552075,0,0.715,0.04,0,,,206,1.059176918,201.1719,1.06188932,,,1.064360719,200.7382,1.067017476,,,0.8955,0.0000,1,0.003036778,0.000191031,0.687583445,,,,,,,,,,,,,,,,,,,,,,,,,
010059,LAWRENCE MEDICAL CENTER,19460,19460,19460,01390,5,OURBAN,OURBAN,W,26620,0.8558,0,,,,,1,0,0,37,23,0,0,0.26359,0.10961175,0,0.321,0.026,0,,,1244,1.005657431,1221.4714,1.011780547,,,1.011399573,1219.3151,1.018072588,,,0.8989,0.0000,1,0.008788323,0.008773779,0.637394851,,,,,,,,,,,,,,,,,,,,,,,,,
010061,HIGHLANDS MEDICAL CENTER,   01,   01,   01,01350,5,RURAL,RURAL,W,16860,0.8676,0,,,,,1,0,0,170,54,0,0,0.34059,0.12,0,0.364,0.029,16,4610.545156,3925.976421,2601,0.926991692,2563.2385,0.931200769,46.3331,0.983151021,0.928706172,2560.357,0.93320892,46.15,0.980200342,0.9073,0.0000,1,0.000883716,0.001052315,0.644792806,,,,,,,,,,,,,,,,,,,,,,,,,
010062,WIREGRASS MEDICAL CENTER,20020,20020,20020,01300,5,OURBAN,OURBAN,N,20020,0.7499,0,,,,,1,0,0,73,25,0,0,0.24939,0.09789675,0,0.491,0.047,0,,,1014,1.023819389,997.4967,1.029581755,,,1.030699714,995.7036,1.03650217,,,0.8211,0.0000,1,0.014674088,0.02164221,0.645397715,,,,,,,,,,,,,,,,,,,,,,,,,
010064,,13820,13820,13820,01360,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0.2526,0.4882,181,91,0.128930595,0.147711592,0.17573,0.0417245,0.03622606,0.266,0.013,0,,,2250,1.818125814,2214.1982,1.828751956,,,1.819353788,2211.1307,1.8305776,,,0.8955,0.0000,1,0.080754741,0.021351389,0.446500109,,,,,,,,,,,,,,,,,,,,,,,,,
010065,RUSSELL MEDICAL CENTER,   01,   01,   01,01610,5,RURAL,RURAL,W,13820,0.8512,0,,,,,1,0,0,75,32,0,0,0.30687,0.14531775,0,0.372,0.036,7,,,1511,1.51681327,1460.41395,1.53810589,19.1177,1.236843656,1.516883364,1456.23635,1.538340371,19.0356,1.234288961,0.8955,0.0000,1,0.022940823,0.041913698,0.514453444,,,,,,,,,,,,,,,,,,,,,,,,,
010066,FLORALA MEMORIAL HOSPITAL,   01,   01,   01,01190,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,22,4,0,0,0.1624,0.03306,0,0.446,0.014,0,,,445,0.765672186,437.8273,0.768593708,,,0.769388552,437.0565,0.772540449,,,0.8128,0.0000,1,0,0,0.739617666,,,,,,,,,,,,,,,,,,,,,,,,,
010069,LAKEVIEW COMMUNITY HOSPITAL,   01,   01,   01,01020,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,29,11,0,0,0.23212,0.083649,0,0.348,0.026,16,5522.513394,5411.492724,717,0.946224016,703.2074,0.951807252,,,0.950638402,701.1801,0.957020502,,,0.8128,0.0000,1,0.006183841,0.006049152,0.63799505,,,,,,,,,,,,,,,,,,,,,,,,,
010073,CLAY COUNTY HOSPITAL,   01,   01,   01,01130,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,46,16,0,0,0.22235,0.07558875,0,0.45,0.021,0,,,1003,0.858219938,984.6241,0.863041077,14.7692,0.828535728,0.861355963,982.6328,0.866423729,14.7407,0.830005732,0.8128,0.0000,1,0.006814054,0.002143455,0.672607516,,,,,,,,,,,,,,,,,,,,,,,,,
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,11500,11500,11500,01070,5,OURBAN,OURBAN,N,11500,0.765,0,,,YES,0.0047,1,0.0182,0.0224,241,173,0.009897486,0.006341301,0.27283,0.11723475,0.056802749,0.201,0.017,0,,,5946,1.675294654,5887.8753,1.686052203,,,1.676981188,5881.90665,1.688471561,,,0.8324,0.0000,1,0.019558902,0.025001788,0.532330897,,,,,,,,,,,,,,,,,,,,,,,,,
010079,ATHENS-LIMESTONE HOSPITAL,26620,26620,26620,01410,5,OURBAN,OURBAN,N,26620,0.8924,0,,,,,1,0,0,101,38,0,0,0.30239,0.14162175,0.063147635,0.395,0.051,0,,,2067,1.192814236,2020.7203,1.199878471,175.3435,1.146177074,1.196319685,2016.6709,1.203621384,174.9289,1.153680045,0.9250,0.0000,1,0.026119968,0.064362343,0.633094968,,,,,,,,,,,,,,,,,,,,,,,,,
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,   01,   01,   01,01010,5,RURAL,RURAL,W,37860,0.8068,0,,,,,1,0,0,106,67,0,0,0.22155,0.07492875,0,0.206,0.022,7,,,2640,1.140998005,2616.65455,1.143636818,,,1.142913962,2613.8094,1.145831629,,,0.8633,0.0000,1,0.043306325,0.080734779,0.577119928,,,,,,,,,,,,,,,,,,,,,,,,,
010085,DECATUR GENERAL HOSPITAL,19460,19460,19460,01510,5,OURBAN,OURBAN,W,26620,0.8558,0,,,,,1,0,0,178,109,0,0,0.24949,0.09797925,0.051819714,0.405,0.046,0,,,4202,1.332171176,4154.41015,1.339043908,177.89455,1.438790276,1.333594985,4149.0917,1.340774108,177.63435,1.442583364,0.8989,0.0000,1,0.0063844,0.014456263,0.529718629,,,,,,,,,,,,,,,,,,,,,,,,,
010086,NORTHWEST MEDICAL CENTER,   01,   01,   01,01460,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,61,23,0,0,0.25013,0.09850725,0,0.218,0.025,14,1968.908497,1971.534999,1281,1.087059847,1252.2354,1.098585636,2,0.7952,1.092159897,1249.1901,1.104376269,2,0.79435,0.8128,0.0000,1,6.96292E-05,0.001254014,0.537945001,,,,,,,,,,,,,,,,,,,,,,,,,
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,33660,33660,33660,01480,5,OURBAN,OURBAN,N,33660,0.7735,0,,,,,1,0.8735,0.9988,128,109,0.390838633,0.325594927,0.43797,0.25347525,0.092740679,0.429,0.011,0,,,1035,2.349374709,1024.4531,2.367518357,,,2.345284466,1023.8096,2.363404638,,,0.8387,0.0000,1,0.070026546,0.000421127,0.198302172,,,,,,,,,,,,,,,,,,,,,,,,,
010089,WALKER BAPTIST MEDICAL CENTER,13820,13820,13820,01630,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0,0,139,65,0,0,0.28606,0.1281495,0.059637798,0.174,0.03,0,,,2973,1.284345085,2905.4129,1.291478877,378.49085,1.32096959,1.279271519,2898.42015,1.287047326,378.2465,1.31971413,0.8955,0.0000,1,0.003308038,0.014227032,0.468486471,,,,,,,,,,,,,,,,,,,,,,,,,
010090,PROVIDENCE HOSPITAL,33660,33660,33660,01480,5,OURBAN,OURBAN,W,37700,0.8156,0,,,,,1,0,0,349,208,0,0,0.18868,0.050142,0.038947,0.297,0.016,0,,,5039,1.794757972,4990.4683,1.802654892,1291.3557,1.747019211,1.793038852,4984.9511,1.801575015,1290.1555,1.75184487,0.8697,0.0000,1,0.080597647,0.041693889,0.432303179,,,,,,,,,,,,,,,,,,,,,,,,,
010091,GROVE HILL MEMORIAL HOSPITAL,   01,   01,   01,01120,5,RURAL,RURAL,N,   01,0.7435,0,,,YES,0.0046,1,0,0,24,9,0,0,0.49124,0.12,0,0.402,0.022,0,,,383,0.867180192,369.26575,0.880171279,1,0.6921,0.866942417,368.0926,0.880832376,1,0.6703,0.8163,0.0000,1,0,0,0.450592885,,,,,,,,,,,,,,,,,,,,,,,,,
010092,D C H REGIONAL MEDICAL CENTER,46220,46220,46220,01620,5,OURBAN,OURBAN,N,46220,0.8942,0,,,,,1,0.0729,0.0904,433,360,0.039025641,0.025839067,0.29657,0.13682025,0.0618954,0.239,0.022,0,,,12049,1.529213109,11910.536,1.538718051,,,1.52780778,11896.96605,1.537783509,,,0.9263,0.0000,1,0.023669774,0.034395764,0.539428852,,,,,,,,,,,,,,,,,,,,,,,,,
010095,HALE COUNTY HOSPITAL,46220,46220,46220,01320,5,OURBAN,OURBAN,N,46220,0.8942,0,,,,,1,0,0,28,5,0,0,0.40817,0.12,0,0.472,0.058,0,,,356,0.76541135,340.8292,0.775704213,,,0.764647056,339.6785,0.775875562,,,0.9263,0.0000,1,0,0,0.645401382,,,,,,,,,,,,,,,,,,,,,,,,,
010097,ELMORE COMMUNITY HOSPITAL,33860,33860,33860,01250,5,OURBAN,OURBAN,N,33860,0.8459,0,,,,,1,0,0,69,14,0,0,0.2905,0.12,0,0.609,0.07,0,,,924,0.841326517,891.315,0.849419697,,,0.816763657,890.4162,0.824265909,,,0.8917,0.0000,1,0,0,0.625602968,,,,,,,,,,,,,,,,,,,,,,,,,
