Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),Section 508 Labor Market Area if applicable,Special Exception Labor Market Area if applicable,Section 508 Provider,Section 505 wage adjustment_a,Section 505 wage adjustment_b,Section 505 eligible_a,Section 505 eligible_b,Section 401 hosptial,Post Reclass Wage Index_a,Post Reclass Wage Index_b,COLA,RESBED,SSA COUNTY CODE,HSP Rate,HSP_MDH,RDAY,BEDS,ADC,OPCCR,CPCCR,DSHPCT,POST RECLASS Labor Market Area_a,POST RECLASS Labor Market Area_b,Puerto Rico Specific Post Reclass wage index_a,Puerto Rico Specific Post Reclass wage index_b,PTYPE,LUGAR,RECLASS1,RECLASS2,BILLS,CASETA23,TACMIV23,CMIV23,CASETA24,TACMIV24,CMIV24,REGION,URGEO,URSPA,TCHOP,TCHCP,Post Reclass GAF_a,Post Reclass GAF_b,Puerto Rico Specific Post Reclass GAF_a,Puerto Rico Specific Post Reclass GAF_b,COLACP,DSHOPG,DSHCPG,OUT07F,COUT07F,MCR_PCT
010035,CULLMAN REGIONAL MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.8889,0.8889,1,0,1210,. ,0,0,115,76,0.291,0.05,0.23173,13820,13820,0,0,7,,W,W,3756,3696.32,1.25293,1.26589,3700.57,1.25566,1.26656,5,RURAL,RURAL,0,0,0.92252,0.92252,0,0,1,0.08333,0,0.01399,0.0432,0.61548
010036,ANDALUSIA REGIONAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1190,. ,0,0,101,41,0.23,0.018,0.29361,01,01,0,0,0,,N,N,2164,2121.37,1.11719,1.12482,2122.8,1.1228,1.13271,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0.00132,0.00124,0.59589
010038,STRINGFELLOW MEMORIAL HOSPITAL,11500,11500,11500,,,,0.0062,0.0062,YES,YES,,0.8059,0.8059,1,0,1070,. ,0,0,125,59,0.149,0.012,0.1659,11500,11500,0,0,0,,N,N,2639,2606.69,1.3458,1.35266,2607.22,1.34142,1.34886,5,OURBAN,OURBAN,0,0,0.85807,0.85807,0,0,1,0.03533,0.03417,0.02202,0.01872,0.60566
010039,HUNTSVILLE HOSPITAL,26620,26620,26620,,,,. ,. ,,,,0.8967,0.8967,1,0.0495,1440,. ,0,0.0632,713,520,0.25,0.018,0.22179,26620,26620,0,0,0,,N,N,16215,16080.17,1.6133,1.61803,16090.8,1.61715,1.62144,5,OURBAN,OURBAN,0.02608,0.018,0.92805,0.92805,0,0,1,0.07513,0.04594,0.06169,0.04182,0.48286
010040,GADSDEN REGIONAL MEDICAL CENTER,23460,23460,23460,,,,. ,. ,,,,0.806,0.806,1,0,1270,. ,0,0,244,165,0.143,0.009,0.25025,23460,23460,0,0,0,,N,N,5795,5739.29,1.58828,1.59682,5742.53,1.58206,1.59015,5,OURBAN,OURBAN,0,0,0.8627,0.8627,0,0,1,0.09861,0.05198,0.02352,0.0114,0.59162
010043,CHILTON MEDICAL CENTER,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0,1100,. ,0,0,60,6,0.473,0.035,0.14951,13820,13820,0,0,0,,N,N,389,361.82,1.03417,1.05074,362.46,1.04152,1.0575,5,LURBAN,LURBAN,0,0,0.92252,0.92252,0,0,1,0,0,0,0,0.6761
010044,MARION REGIONAL MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.8889,0.8889,1,0,1460,. ,0,0,36,9,0.374,0.023,0.20337,13820,13820,0,0,0,,W,W,559,526.19,1.0427,1.06081,527.46,1.05017,1.06179,5,RURAL,RURAL,0,0,0.92252,0.92252,0,0,1,0.05993,0,0,0,0.68416
010045,FAYETTE MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.8889,0.8889,1,0,1280,2701.32,4287.2,0,42,20,0.402,0.042,0.19967,13820,13820,0,0,14,,W,W,916,892.52,1.15281,1.15773,893.81,1.16637,1.17321,5,RURAL,RURAL,0,0,0.92252,0.92252,0,0,1,0.05729,0,0.03106,0.03813,0.71279
010046,RIVERVIEW REGIONAL MEDICAL CENTER,23460,23460,23460,,,,. ,. ,,,,0.806,0.806,1,0,1270,. ,0,0,281,124,0.167,0.014,0.16656,23460,23460,0,0,0,,N,N,5162,5118.13,1.49317,1.49876,5121.68,1.48602,1.491,5,OURBAN,OURBAN,0,0,0.8627,0.8627,0,0,1,0.03576,0.0343,0.02983,0.02705,0.7135
010047,GEORGIANA HOSPITAL,01,01,01,,,,0.0155,0.0155,YES,YES,,0.7819,0.7819,1,0,1060,3270.31,2404.42,0,22,13,0.573,0.029,0.30354,01,01,0,0,14,,N,N,1097,1078.35,0.88198,0.88567,1079.26,0.88918,0.89278,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.14257,0,0,0,0.67578
010049,MEDICAL CENTER ENTERPRISE,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1150,. ,0,0,131,49,0.188,0.018,0.34859,01,01,0,0,0,,N,N,1824,1778.32,1.13333,1.14618,1780.37,1.13737,1.14904,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0.00664,0.00851,0.47911
010050,MEDICAL CENTER BLOUNT,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0,1040,. ,0,0,40,20,0.354,0.032,0.18792,13820,13820,0,0,0,,N,N,917,886.06,1.01345,1.02589,886.45,1.02993,1.03816,5,LURBAN,LURBAN,0,0,0.92252,0.92252,0,0,1,0.04965,0,0.0117,0.01094,0.61788
010051,GREENE COUNTY HOSPITAL,46220,46220,46220,,,,. ,. ,,,,0.8761,0.8761,1,0,1310,. ,0,0,24,3,1.161,0.044,0.49519,46220,46220,0,0,0,,N,N,227,224.26,0.83073,0.83195,224.35,0.83721,0.83844,5,OURBAN,OURBAN,0,0,0.9134,0.9134,0,0,1,0.12,0,0,0,0.75781
010052,LAKE MARTIN COMMUNITY HOSPITAL,01,01,01,,,,0.0103,0.0103,YES,YES,,0.7767,0.7767,1,0,1610,. ,0,0,20,11,0.341,0.021,0.33336,01,01,0,0,0,,N,N,889,850.48,0.87666,0.88499,851.99,0.88061,0.88873,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0,0,0.6274
010054,PARKWAY MEDICAL CENTER HOSPITAL,19460,19460,19460,,,,. ,. ,,,,0.8756,0.8756,1,0,1510,. ,0,0,109,33,0.174,0.015,0.31694,26620,26620,0,0,0,,W,W,1435,1406.2,1.08916,1.0961,1407.13,1.10354,1.11066,5,OURBAN,OURBAN,0,0,0.91304,0.91304,0,0,1,0.15363,0.06628,0.00251,0.00266,0.51627
010055,FLOWERS HOSPITAL,20020,20020,20020,,,,. ,. ,,,,0.7664,0.7664,1,0,1340,. ,0,0,235,151,0.171,0.018,0.18048,20020,20020,0,0,0,,N,N,5797,5746.07,1.51043,1.52565,5749.14,1.51318,1.52743,5,OURBAN,OURBAN,0,0,0.83344,0.83344,0,0,1,0.04481,0.03722,0.028,0.0385,0.58317
010056,ST VINCENTS HOSPITAL,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.0031,1360,. ,0,0.0042,325,255,0.367,0.035,0.05796,13820,13820,0,0,0,,N,N,6435,6380.09,1.57563,1.58206,6387.23,1.57424,1.58001,5,LURBAN,LURBAN,0.00166,0.00119,0.92252,0.92252,0,0,1,0,0.01181,0.04139,0.04156,0.36281
010058,BIBB MEDICAL CENTER,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0,1030,. ,0,0,25,4,0.555,0.041,0.24669,13820,13820,0,0,0,,N,N,309,300.92,0.95432,0.95914,301.51,0.95532,0.95999,5,LURBAN,LURBAN,0,0,0.92252,0.92252,0,0,1,0.09567,0,0,0,0.71657
010059,LAWRENCE MEDICAL CENTER,19460,19460,19460,,,,. ,. ,,,,0.8756,0.8756,1,0,1390,. ,0,0,37,19,0.25,0.015,0.22052,26620,26620,0,0,0,,W,W,956,934.49,1.02861,1.03228,935.7,1.03037,1.03392,5,OURBAN,OURBAN,0,0,0.91304,0.91304,0,0,1,0.07408,0,0,0,0.66804
010061,JACKSON COUNTY HOSPITAL,01,01,01,,,,0.0506,0.0506,YES,YES,,0.817,0.817,1,0,1350,1711.35,0,0,170,46,0.373,0.035,0.35522,01,01,0,0,16,,N,N,2422,2363.18,1.00033,1.00802,2364.97,1.00908,1.01658,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0.00278,0.00366,0.61939
010062,WIREGRASS MEDICAL CENTER,20020,20020,20020,,,,. ,. ,,,,0.7664,0.7664,1,0,1300,3897.88,0,0,83,25,0.518,0.059,0.26194,20020,20020,0,0,16,,N,N,1236,1214.62,1.05804,1.06959,1216.24,1.06318,1.07222,5,OURBAN,OURBAN,0,0,0.83344,0.83344,0,0,1,0.10825,0,0.00886,0.01696,0.66006
010064,CARRAWAY METHODIST MEDICAL CENTER,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.1585,1360,. ,0,0.4238,186,108,0.245,0.019,0.18624,13820,13820,0,0,0,,N,N,3401,3337.28,1.69509,1.70409,3342.85,1.69245,1.69889,5,LURBAN,LURBAN,0.08104,0.12704,0.92252,0.92252,0,0,1,0.04856,0.03843,0.05457,0.0307,0.50916
010065,RUSSELL MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.7933,0.7933,1,0,1610,. ,0,0,75,38,0.347,0.029,0.20133,33860,33860,0,0,7,,W,W,1564,1523.99,1.47462,1.49139,1527.16,1.46549,1.48057,5,RURAL,RURAL,0,0,0.85336,0.85336,0,0,1,0.05836,0,0.03266,0.03088,0.53777
010066,FLORALA MEMORIAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1190,. ,0,0,22,4,0.539,0.013,0.21179,01,01,0,0,0,,N,N,430,424.88,0.82379,0.83128,424.99,0.8278,0.83511,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.06688,0,0,0,0.62975
010069,LAKEVIEW COMMUNITY HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1020,4667.78,0,0,74,17,0.243,0.014,0.2701,01,01,0,0,16,,N,N,1001,969.57,1.01003,1.01995,969.5,1.00931,1.02547,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.11498,0,0.0094,0.00497,0.68216
010073,CLAY COUNTY HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1130,. ,0,0,46,16,0.482,0.029,0.22303,01,01,0,0,0,,N,N,1068,1032.58,0.9637,0.96947,1032.79,0.97148,0.97764,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.07615,0,0.00619,0.00386,0.68587
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,11500,11500,11500,,,,0.0062,0.0062,YES,YES,,0.8059,0.8059,1,0.0537,1070,. ,0,0.0609,220,182,0.213,0.021,0.25872,11500,11500,0,0,0,,N,N,6422,6340.27,1.50546,1.51443,6343.59,1.50448,1.51265,5,OURBAN,OURBAN,0.02826,0.01733,0.85807,0.85807,0,0,1,0.10559,0.05379,0.01418,0.01961,0.55834
010079,ATHENS-LIMESTONE HOSPITAL,26620,26620,26620,,,,. ,. ,,,,0.8967,0.8967,1,0,1410,. ,0,0,101,39,0.437,0.049,0.28449,26620,26620,0,0,0,,N,N,2070,2004.08,1.15132,1.16417,2008.7,1.15214,1.16222,5,OURBAN,OURBAN,0,0,0.92805,0.92805,0,0,1,0.12685,0.0593,0.02628,0.03993,0.61899
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,01,33660,01,,,,. ,. ,,,,0.7871,0.7871,1,0,1010,. ,0,0,82,64,0.247,0.022,0.1735,37860,37860,0,0,7,,W,W,2924,2878.39,1.15624,1.16329,2879.33,1.16498,1.17301,5,RURAL,RURAL,0,0,0.84879,0.84879,0,0,1,0.04028,0,0.02732,0.02889,0.64923
010084,UAB HIGHLANDS,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0,1360,. ,0,0,199,69,0.369,0.067,0.07687,13820,13820,0,0,0,,N,N,1489,1475.78,1.5145,1.52053,1476.34,1.52697,1.53268,5,LURBAN,LURBAN,0,0,0.92252,0.92252,0,0,1,0,0.01569,0.03688,0.09972,0.53736
010085,DECATUR GENERAL HOSPITAL,19460,19460,19460,,,,. ,. ,,,,0.8756,0.8756,1,0,1510,. ,0,0,178,114,0.315,0.04,0.24496,26620,26620,0,0,0,,W,W,4384,4328.73,1.31773,1.32131,4332.17,1.32721,1.3308,5,OURBAN,OURBAN,0,0,0.91304,0.91304,0,0,1,0.09424,0.05086,0.02918,0.0533,0.51901
010086,NORTHWEST MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1460,. ,0,0,61,25,0.266,0.021,0.29484,01,01,0,0,0,,N,N,1339,1294.85,1.0841,1.09538,1297.22,1.0919,1.10122,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0.00632,0.00596,0.59714
010087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,33660,33660,33660,,,,. ,. ,,,,0.7847,0.7847,1,0.6377,1480,. ,0,1.0887,173,101,0.436,0.016,0.43542,33660,33660,0,0,0,,N,N,1171,1156.98,1.98981,2.00345,1157.45,1.95967,1.97118,5,OURBAN,OURBAN,0.2919,0.35966,0.84702,0.84702,0,0,1,0.25137,0.09218,0.07335,0.00679,0.23
010089,WALKER BAPTIST MEDICAL CENTER,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0,1630,. ,0,0,138,75,0.167,0.012,0.31937,13820,13820,0,0,0,,N,N,3570,3443.96,1.25715,1.26699,3451.27,1.26109,1.26845,5,LURBAN,LURBAN,0,0,0.92252,0.92252,0,0,1,0.15563,0.06681,0.00163,0.00058,0.51211
010090,PROVIDENCE HOSPITAL,33660,33660,33660,,,,. ,. ,,,,0.7847,0.7847,1,0,1480,. ,0,0,349,207,0.324,0.022,0.17802,33660,33660,0,0,0,,N,N,5986,5926.28,1.71792,1.7247,5932.31,1.70695,1.71347,5,OURBAN,OURBAN,0,0,0.84702,0.84702,0,0,1,0.04321,0.03671,0.04463,0.02487,0.4491
010091,GROVE HILL MEMORIAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1120,. ,0,0,24,11,0.31,0.024,0.54402,01,01,0,0,0,,N,N,536,518.04,0.93697,0.95101,518.45,0.94033,0.95655,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0,0,0.45706
010092,D C H REGIONAL MEDICAL CENTER,46220,46220,46220,,,,. ,. ,,,,0.8761,0.8761,1,0.0807,1620,. ,0,0.0966,429,348,0.238,0.02513,0.29483,46220,46220,0,0,0,,N,N,11582,11417.88,1.61082,1.61569,11427.74,1.6028,1.6082,5,OURBAN,OURBAN,0.04215,0.02764,0.9134,0.9134,0,0,1,0.13538,0.06152,0.0204,0.02946,0.55762
010095,HALE COUNTY HOSPITAL,46220,46220,46220,,,,. ,. ,,,,0.8761,0.8761,1,0,1320,. ,0,0,28,7,0.507,0.037,0.50004,46220,46220,0,0,0,,N,N,537,509.04,0.83486,0.84397,509.98,0.84318,0.852,5,OURBAN,OURBAN,0,0,0.9134,0.9134,0,0,1,0.12,0,0,0,0.56923
010097,ELMORE COMMUNITY HOSPITAL,33860,33860,33860,,,,. ,. ,,,,0.7933,0.7933,1,0,1250,. ,0,0,69,16,0.492,0.063,0.37004,33860,33860,0,0,0,,N,N,984,955.6,0.71459,0.7132,955.85,0.75046,0.74989,5,OURBAN,OURBAN,0,0,0.85336,0.85336,0,0,1,0.12,0,0,0,0.6749
010099,D W MCMILLAN MEMORIAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1260,. ,0,0,89,33,0.428,0.029,0.33665,01,01,0,0,0,,N,N,1421,1385.73,0.98119,0.99535,1385.93,0.99104,1.00801,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0.00628,0.00458,0.50816
010100,THOMAS HOSPITAL,01,33660,01,,,,. ,. ,,,,0.7871,0.7871,1,0,1010,. ,0,0,123,90,0.3,0.032,0.14342,37860,37860,0,0,7,,W,W,4136,4087.74,1.68147,1.69225,4091.89,1.68229,1.69199,5,RURAL,RURAL,0,0,0.84879,0.84879,0,0,1,0,0,0.02109,0.03268,0.58813
010101,BAPTIST CITIZENS,01,01,11500,,,,. ,. ,,,,0.7997,0.7997,1,0,1600,. ,0,0,93,33,0.271,0.013,0.5044,11500,11500,0,0,0,LUGAR,W,W,1393,1350.42,1.10464,1.13635,1352.72,1.10779,1.13842,5,RURAL,OURBAN,0,0,0.85807,0.85807,0,0,1,0.12,0,0.00625,0.00161,0.46194
010102,J PAUL JONES HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1650,2327.88,0,0,30,3,1.121,0.082,0.3782,01,01,0,0,16,,N,N,195,184.81,0.92854,0.94119,185.37,0.95082,0.96367,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0,0,0.61762
010103,BAPTIST PRINCETON,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.1095,1360,. ,0,0.1569,309,192,0.158,0.011,0.21297,13820,13820,0,0,0,,N,N,5822,5748.34,1.88823,1.89447,5751.46,1.87398,1.88108,5,LURBAN,LURBAN,0.05674,0.04527,0.92252,0.92252,0,0,1,0.06785,0.04407,0.04605,0.02517,0.49711
010104,MONTCLAIR BAPIST MEDICAL CENTER,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.1109,1360,. ,0,0.1718,341,195,0.169,0.011,0.168,13820,13820,0,0,0,,N,N,6760,6684.93,1.81474,1.82268,6690.27,1.80315,1.81077,5,LURBAN,LURBAN,0.05744,0.04968,0.92252,0.92252,0,0,1,0.0367,0.03461,0.05032,0.02389,0.50861
